,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos
142,"J. Green Mem - PF,C ",FA,7,169,143,28%,21:17,4.0/8.9,.452,2.3/3.1,.727,1.3,11.6,6.0,1.6,0.7,0.9,1.6,0," PF,C "
143,"B. Bogdanovic Ind - SG,SF ",You Reach I Teach,6,132,144,74%,30:49,4.8/11.7,.414,2.8/3.2,.895,1.7,14.2,4.3,1.7,0.5,0.0,0.7,0," SG,SF "
144,"T. Craig Den - SG,SF ",FA,7,316,145,1%,27:08,2.7/5.4,.500,0.4/0.9,.500,1.0,6.9,4.3,0.9,1.1,1.1,1.1,0," SG,SF "
145,"K. Kuzma LAL - SF,PF ",Taxmaddness,6,80,146,92%,36:00,8.5/18.8,.451,3.3/4.5,.741,2.3,22.7,7.7,2.7,1.0,0.0,3.3,0," SF,PF "
146,"M. Leonard Por - PF,C ",FA,7,293,147,1%,15:51,2.6/4.0,.643,0.6/0.6,1.000,1.1,6.9,3.1,1.1,0.3,0.4,0.6,0," PF,C "
147,D. Wilson Mil - PF ,FA,6,380,148,0%,18:49,2.8/5.7,.500,0.0/0.3,.000,1.3,7.0,4.7,1.2,0.5,1.0,0.7,0, PF 
148,D. Dotson NY - SG ,FA,5,295,149,3%,27:36,2.8/5.8,.483,1.8/2.2,.818,2.0,9.4,4.4,2.6,0.2,0.0,0.8,0, SG 
149,"J. Harris Bkn - SG,SF ",FA,6,128,150,60%,31:30,4.8/11.0,.439,1.8/2.0,.917,1.8,13.3,4.5,3.3,0.7,0.0,2.0,0," SG,SF "
150,"J. Ennis III Hou - SG,SF ",FA,6,281,151,1%,22:40,2.2/4.5,.481,1.7/2.3,.714,1.0,7.0,2.7,0.7,1.3,0.7,0.8,0," SG,SF "
151,M. Harkless Por - SF ,FA,3,189,152,4%,19:00,2.3/4.3,.538,1.3/1.3,1.000,0.0,6.0,2.0,1.0,0.7,0.7,0.3,0, SF 
152,"E. Turner Por - SG,SF ",FA,7,224,153,8%,23:34,4.0/7.3,.549,1.7/2.4,.706,0.3,10.0,4.9,3.7,0.4,0.0,0.6,0," SG,SF "
153,T. Prince Atl - SF ,FA,5,53,154,76%,20:00,3.8/8.8,.432,0.4/0.4,1.000,1.4,9.4,4.6,1.0,0.8,0.4,1.0,0, SF 
154,"D. Cousins GS - PF,C ",Taxmaddness,2,172,155,87%,18:00,3.5/10.0,.350,2.5/3.5,.714,1.5,11.0,7.5,4.0,0.5,0.5,1.0,0," PF,C "
155,"D. Favors Uta - PF,C ",FA,7,146,156,67%,21:42,3.4/7.4,.462,2.9/4.0,.714,0.0,9.7,8.6,0.9,0.6,0.9,0.9,0," PF,C "
156,"O. Casspi Mem - SF,PF ",FA,6,325,157,1%,23:19,3.5/7.5,.467,1.7/2.0,.833,0.8,9.5,4.2,0.7,1.0,0.5,1.2,0," SF,PF "
157,J. Bolden Phi - PF ,FA,7,405,158,0%,14:00,1.9/3.4,.542,0.0/0.0,-,1.3,5.0,4.9,0.7,0.1,1.4,1.3,0, PF 
158,"T. Thompson Cle - PF,C ",Westbrook 4 Kidd,3,275,159,54%,27:19,4.0/9.3,.429,0.3/0.7,.500,0.0,8.3,9.0,1.3,0.7,0.7,0.7,INJ," PF,C "
159,"L. Williams LAC - PG,SG ",The Monstars,6,55,160,91%,25:40,6.8/15.7,.436,3.7/4.5,.815,1.0,18.3,3.2,4.8,0.5,0.2,1.8,0," PG,SG "
160,"R. Kurucs Bkn - SF,PF ",FA,6,327,161,5%,23:30,4.8/7.8,.617,1.3/1.5,.889,0.3,11.3,3.3,0.7,0.8,0.2,1.5,0," SF,PF "
161,L. Kennard Det - SG ,FA,8,160,162,5%,23:00,3.9/8.6,.449,1.3/1.4,.909,1.8,10.8,2.8,1.5,0.6,0.4,1.4,0, SG 
162,"C. Osman Cle - SF,PF ",FA,7,179,163,22%,29:17,5.1/9.7,.529,1.9/2.6,.722,1.6,13.7,3.6,1.3,1.1,0.1,2.0,0," SF,PF "
163,R. Arcidiacono Chi - PG ,FA,7,278,164,2%,18:42,1.3/3.3,.391,2.1/2.1,1.000,0.9,5.6,1.3,3.0,0.9,0.1,0.9,0, PG 
164,"K. Korver Uta - SG,SF ",FA,7,199,165,9%,23:42,3.9/8.6,.450,1.7/1.9,.923,2.7,12.1,2.7,1.0,0.1,0.3,1.1,0," SG,SF "
165,B. Forbes SA - PG ,FA,7,266,166,24%,31:42,3.9/9.4,.409,0.9/0.9,1.000,2.0,10.6,4.7,1.6,0.7,0.0,1.4,0, PG 
166,"G. Green Hou - SG,SF ",FA,7,232,167,9%,28:42,4.0/11.4,.350,1.0/1.3,.778,2.7,11.7,3.3,1.3,0.3,1.0,0.7,0," SG,SF "
167,"E. Ilyasova Mil - SF,PF ",FA,6,167,168,4%,16:00,2.0/4.2,.480,0.0/0.0,-,0.7,4.7,2.2,0.5,1.2,0.2,0.0,0," SF,PF "
168,"D. Powell Dal - PF,C ",FA,6,239,169,4%,14:49,3.2/5.3,.594,1.7/2.2,.769,0.2,8.2,2.8,1.0,0.3,0.7,0.3,0," PF,C "
169,D. Jones Jr. Mia - SF ,FA,7,322,170,4%,19:00,3.6/6.1,.581,1.1/1.9,.615,0.6,8.9,4.0,0.6,0.9,0.7,0.9,0, SF 
170,M. Bamba Orl - C ,FA,4,122,171,37%,15:15,2.8/4.0,.688,1.3/1.8,.714,0.5,7.3,4.3,0.5,0.3,1.3,1.5,0, C 
171,"Z. LaVine Chi - PG,SG ",WinterHawk,7,62,172,95%,30:00,6.7/16.1,.416,4.4/5.4,.816,1.9,19.7,3.6,3.7,1.1,0.1,2.9,0," PG,SG "
172,"E. Moore NO - SG,SF ",FA,6,149,173,25%,27:10,3.3/7.2,.465,0.7/0.7,1.000,1.0,8.3,3.2,1.5,0.7,0.0,0.5,0," SG,SF "
173,"J. Brown Bos - SG,SF ",FA,8,123,174,52%,23:22,4.4/9.9,.443,2.3/3.3,.692,1.4,12.4,4.8,0.5,1.1,0.6,1.3,0," SG,SF "
174,"J. Ingles Uta - SG,SF ",The Monstars,7,54,175,88%,31:17,3.9/9.7,.397,1.0/1.1,.875,1.9,10.6,3.7,6.6,0.4,0.1,2.4,0," SG,SF "
175,"D. Melton Pho - PG,SG ",FA,6,319,176,5%,19:40,1.2/4.8,.241,0.3/0.3,1.000,0.3,3.0,2.3,4.7,1.5,0.8,1.3,0," PG,SG "
176,S. Dinwiddie Bkn - PG ,Stay Out the Paint,6,129,177,77%,27:49,6.0/12.5,.480,4.0/5.0,.800,2.2,18.2,2.3,4.3,0.3,0.2,2.7,0, PG 
177,"J. Hart LAL - SG,SF ",FA,6,125,178,47%,27:10,2.3/6.2,.378,1.2/1.5,.778,1.2,7.0,5.2,1.7,1.0,0.5,1.3,0," SG,SF "
178,T. Lyles Den - PF ,FA,5,165,179,5%,18:12,4.6/9.8,.469,0.4/0.8,.500,0.6,10.2,4.0,2.2,0.6,0.2,0.2,0, PF 
179,"V. Oladipo Ind - PG,SG ",W (Jan 26),6,11,180,76%,27:40,5.0/13.8,.361,1.5/2.0,.750,1.7,13.2,4.2,5.3,1.5,0.0,2.3,INJ," PG,SG "
180,"C. Brewer Phi - SG,SF ",FA,3,355,181,0%,23:00,3.0/6.3,.474,0.7/1.3,.500,1.0,7.7,2.0,1.7,1.7,0.7,1.7,0," SG,SF "
181,"N. Powell Tor - SG,SF ",FA,7,310,182,2%,19:51,4.0/7.4,.538,1.3/2.0,.643,1.3,10.6,1.0,2.1,1.1,0.1,1.1,0," SG,SF "
182,"J. Grant Orl - PG,SG ",FA,1,187,183,1%,19:00,1.0/5.0,.200,3.0/4.0,.750,1.0,6.0,5.0,3.0,1.0,1.0,1.0,0," PG,SG "
183,"S. Brown Mil - SG,SF ",FA,6,320,184,0%,21:49,3.3/5.3,.625,0.3/0.7,.500,1.8,8.8,3.3,2.5,0.5,0.2,1.8,0," SG,SF "
184,A. Baynes Bos - C ,FA,5,292,185,2%,18:00,2.2/4.6,.478,0.8/0.8,1.000,0.2,5.4,6.0,1.0,0.0,1.2,1.2,0, C 
185,"S. Johnson Det - SG,SF ",FA,8,198,186,2%,15:45,1.9/4.6,.405,0.9/1.0,.875,0.6,5.3,3.6,0.9,1.0,0.3,0.6,0," SG,SF "
186,T. Young Atl - PG ,Stay Out the Paint,6,106,187,86%,32:30,5.8/14.5,.402,4.8/5.5,.879,1.8,18.3,5.2,7.5,0.7,0.0,4.7,0, PG 
187,"R. Williams Bos - PF,C ",FA,4,371,188,1%,9:45,0.8/1.3,.600,0.0/0.0,-,0.0,1.5,1.8,0.5,0.5,1.3,0.0,0," PF,C "
188,"D. Wade Mia - PG,SG ",FA,7,261,189,30%,24:25,5.7/11.3,.506,0.9/1.3,.667,1.0,13.3,3.6,5.0,0.4,0.1,2.3,0," PG,SG "
189,"B. Wanamaker Bos - PG,SG ",FA,4,417,190,0%,13:45,1.8/4.8,.368,1.5/1.5,1.000,1.5,6.5,1.3,2.3,0.5,0.3,0.8,0," PG,SG "
190,Z. Pachulia Det - C ,FA,5,290,191,1%,26:36,2.2/4.4,.500,1.0/1.6,.625,0.0,5.4,7.4,1.8,1.0,0.6,1.6,0, C 
191,"P. Millsap Den - PF,C ",Stay Out the Paint,7,60,192,88%,24:17,4.0/8.7,.459,1.6/2.3,.688,0.3,9.9,6.7,1.0,1.0,0.1,1.0,0," PF,C "
192,"T. Johnson Mia - PG,SG ",FA,7,133,193,24%,27:34,4.3/9.6,.448,1.1/1.7,.667,2.6,12.3,2.0,2.6,0.4,0.3,1.3,0," PG,SG "
193,"G. Harris Den - SG,SF ",14 is the new 24,3,44,194,90%,21:19,4.7/9.0,.519,1.3/1.3,1.000,0.7,11.3,1.3,1.7,0.0,0.7,1.3,0," SG,SF "
194,E. Payton NO - PG ,14 is the new 24,6,119,195,60%,27:40,2.8/7.3,.386,0.7/1.2,.571,0.8,7.2,3.8,5.5,1.5,0.2,2.2,0, PG 
195,"K. Middleton Mil - SG,SF ",Green Machine,6,26,196,99%,29:49,6.0/14.7,.409,2.2/2.7,.813,1.2,15.3,7.3,3.7,0.3,0.2,2.3,0," SG,SF "
196,"M. Hezonja NY - SG,SF ",FA,4,110,197,24%,20:45,2.3/6.8,.333,1.3/1.8,.714,0.3,6.0,4.8,1.3,1.8,0.3,1.0,0," SG,SF "
197,"D. Smith Jr. Dal - PG,SG ",Westbrook 4 Kidd,1,95,198,66%,37:00,6.0/17.0,.353,4.0/4.0,1.000,1.0,17.0,8.0,4.0,1.0,0.0,4.0,0," PG,SG "
198,"T. Rozier Bos - PG,SG ",FA,8,115,199,42%,21:37,2.9/8.5,.338,0.9/0.9,1.000,1.4,8.0,4.5,3.0,0.8,0.1,1.4,0," PG,SG "
199,J. Okafor NO - C ,FA,6,350,200,41%,15:10,3.3/5.5,.606,0.5/1.3,.375,0.0,7.2,6.3,0.7,0.2,1.3,1.0,0, C 
200,C. Joseph Ind - PG ,FA,6,200,201,12%,23:30,3.3/6.8,.488,0.0/0.0,-,0.8,7.5,2.8,3.8,0.2,0.2,1.0,0, PG 
201,R. Lopez Chi - C ,FA,6,252,202,2%,17:30,3.3/5.7,.588,0.3/0.7,.500,0.3,7.3,5.0,1.0,0.2,0.7,0.8,0, C 
202,S. Napier Bkn - PG ,FA,5,276,203,4%,15:12,3.2/7.8,.410,0.8/1.2,.667,1.6,8.8,1.8,2.2,1.0,0.4,1.2,0, PG 
203,"W. Barton Den - SG,SF ",Stay Out the Paint,5,49,204,85%,20:48,3.4/9.4,.362,1.4/1.6,.875,2.0,10.2,4.6,3.0,0.2,0.4,1.6,0," SG,SF "
204,E. Mudiay NY - PG ,FA,5,284,205,50%,26:36,7.2/14.6,.493,3.0/3.2,.938,1.2,18.6,3.8,2.6,0.4,0.2,3.8,0, PG 
205,O. Spellman Atl - PF ,FA,6,341,206,2%,17:49,2.2/4.2,.520,0.5/1.0,.500,1.3,6.2,4.3,0.7,0.2,1.2,1.2,0, PF 
206,"D. Gallinari LAC - SF,PF ",WinterHawk,5,151,207,84%,29:00,4.6/12.4,.371,3.2/4.2,.762,2.8,15.2,4.0,2.6,1.0,0.0,2.2,INJ," SF,PF "
207,"G. Temple Mem - SG,SF ",FA,7,256,208,9%,30:34,2.9/7.0,.408,0.3/0.6,.500,1.9,7.9,3.1,2.3,0.4,0.7,1.3,0," SG,SF "
208,"J. Holiday Mem - SG,SF ",FA,7,192,209,37%,27:17,2.3/7.1,.320,1.0/1.1,.875,1.1,6.7,3.6,1.0,2.0,0.1,1.9,0," SG,SF "
209,J. McGee LAL - C ,Westbrook 4 Kidd,6,120,210,77%,16:10,3.0/6.5,.462,0.8/1.7,.500,0.0,6.8,7.5,0.7,0.2,1.3,0.5,0, C 
210,J. Teague Min - PG ,Westbrook 4 Kidd,5,61,211,83%,26:36,3.2/7.8,.410,2.0/2.6,.769,0.4,8.8,2.4,6.4,1.0,0.4,2.4,0, PG 
211,"R. Hood Cle - SG,SF ",FA,7,197,212,13%,23:00,3.3/9.7,.338,3.3/3.3,1.000,0.6,10.4,2.3,2.1,0.6,0.1,0.9,0," SG,SF "
212,J. Brunson Dal - PG ,FA,6,361,213,1%,20:19,3.3/7.3,.455,1.2/1.2,1.000,1.3,9.2,1.8,2.5,0.2,0.2,1.2,0, PG 
213,"G. Hill Mil - PG,SG ",FA,6,182,214,4%,19:40,2.2/5.2,.419,0.7/0.7,1.000,0.7,5.7,2.8,2.5,0.8,0.0,1.0,0," PG,SG "
214,B. Brown Jr. Det - SG ,FA,8,344,215,0%,21:22,2.0/6.0,.333,1.0/1.3,.800,0.8,5.8,4.4,1.6,0.9,0.5,0.9,0, SG 
215,"K. Anderson Mem - SG,SF ",FA,1,71,216,55%,8:00,1.0/1.0,1.000,0.0/0.0,-,0.0,2.0,1.0,1.0,1.0,0.0,0.0,INJ," SG,SF "
216,"A. Johnson Phi - PF,C ",FA,2,305,217,0%,10:00,2.5/3.0,.833,1.5/2.0,.750,0.5,7.0,3.5,1.0,0.0,0.0,0.5,0," PF,C "
217,"Z. Collins Por - PF,C ",FA,7,202,218,7%,16:17,2.1/4.9,.441,0.6/0.9,.667,0.9,5.7,3.3,1.1,0.4,0.6,0.4,0," PF,C "
218,T. Pinson Bkn - SF ,FA,1,502,219,0%,13:00,3.0/5.0,.600,2.0/2.0,1.000,1.0,9.0,1.0,1.0,0.0,0.0,1.0,0, SF 
219,M. Bagley III Sac - PF ,Stay Out the Paint,7,137,220,64%,25:17,5.7/11.0,.519,1.7/3.1,.545,0.3,13.4,7.6,0.7,0.9,0.6,1.9,0, PF 
220,"Y. Ferrell Sac - PG,SG ",FA,7,234,221,1%,19:17,2.1/5.6,.385,0.4/0.4,1.000,1.0,5.7,2.7,2.4,0.6,0.1,0.6,0," PG,SG "
221,G. Clark Hou - SF ,FA,7,345,222,0%,16:34,1.1/3.1,.364,0.0/0.0,-,0.9,3.1,3.1,0.1,0.6,0.7,0.3,0, SF 
222,J. Adams Atl - PG ,FA,1,497,223,0%,15:00,1.0/4.0,.250,0.0/0.0,-,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0, PG 
223,T. Burke NY - PG ,FA,1,155,224,6%,26:00,5.0/12.0,.417,2.0/2.0,1.000,0.0,12.0,1.0,3.0,0.0,0.0,0.0,0, PG 
224,"O. Anunoby Tor - SF,PF ",FA,2,215,225,3%,21:30,3.5/6.0,.583,2.0/3.5,.571,1.0,10.0,3.5,0.5,1.0,0.0,0.5,0," SF,PF "
225,"D. Miller NO - SG,SF ",FA,6,186,226,2%,27:19,2.0/5.5,.364,0.5/0.7,.750,1.5,6.0,1.5,0.7,0.3,1.3,0.8,0," SG,SF "
226,C. Payne Cle - PG ,FA,7,308,227,1%,19:00,2.4/5.6,.436,1.4/2.0,.714,0.6,6.9,2.4,2.6,1.1,0.4,1.4,0, PG 
227,"D. Booker Pho - PG,SG ",Taxmaddness,5,29,228,99%,31:24,7.4/16.4,.451,4.2/5.4,.778,1.4,20.4,3.6,6.8,0.2,0.2,3.8,0," PG,SG "
228,A. Nader OKC - PF ,FA,7,398,229,0%,13:08,2.6/4.3,.600,0.7/1.0,.714,0.9,6.7,2.3,0.6,0.4,0.1,0.6,0, PF 
229,"A. Bradley LAC - PG,SG ",FA,8,173,230,6%,31:15,3.8/9.8,.385,0.3/0.3,1.000,1.9,9.6,2.9,2.5,0.5,0.0,1.3,0," PG,SG "
230,T. Jones Min - PG ,FA,3,171,231,4%,19:19,2.0/6.3,.316,2.0/2.3,.857,0.7,6.7,1.7,5.3,0.3,0.3,1.0,INJ, PG 
231,"G. Dieng Min - PF,C ",FA,6,207,232,2%,11:10,1.3/3.2,.421,0.3/0.3,1.000,0.5,3.5,3.8,0.5,0.5,0.3,0.3,0," PF,C "
232,"T. Daniels Pho - PG,SG ",FA,4,314,233,0%,11:45,1.8/4.3,.412,0.5/0.5,1.000,1.3,5.3,0.5,0.0,0.5,0.3,0.0,0," PG,SG "
233,"E. Davis Bkn - PF,C ",FA,6,238,234,8%,17:19,1.7/2.5,.667,1.0/1.3,.750,0.0,4.3,7.7,0.5,0.3,0.3,1.5,0," PF,C "
234,H. Whiteside Mia - C ,WinterHawk,6,81,235,91%,23:49,5.3/7.7,.696,1.0/3.8,.261,0.0,11.7,10.3,1.5,0.5,1.3,1.7,0, C 
235,S. Mack Mem - PG ,FA,7,255,236,3%,21:17,4.1/9.0,.460,0.7/1.1,.625,0.9,9.9,2.0,4.9,0.4,0.0,1.4,0, PG 
236,N. Bjelica Sac - PF ,FA,6,213,237,25%,17:00,1.5/4.5,.333,0.3/0.3,1.000,0.5,3.8,3.2,2.5,0.3,0.7,0.7,0, PF 
237,E. Kanter NY - C ,Stay Out the Paint,1,91,238,84%,19:00,5.0/11.0,.455,1.0/1.0,1.000,0.0,11.0,3.0,1.0,0.0,0.0,0.0,0, C 
238,"R. Holmes Pho - PF,C ",FA,4,193,239,14%,16:00,3.5/6.0,.583,1.5/2.0,.750,0.0,8.5,4.3,1.0,0.0,0.5,1.0,INJ," PF,C "
239,"D. Theis Bos - PF,C ",FA,6,288,240,1%,11:40,1.2/2.8,.412,0.5/0.7,.750,0.2,3.0,2.8,1.0,0.7,0.2,0.0,0," PF,C "
240,"P. Patterson OKC - PF,C ",FA,7,301,241,0%,13:42,1.9/3.1,.591,0.0/0.1,.000,1.3,5.0,1.6,0.9,0.0,0.3,0.3,0," PF,C "
241,"J. Hernangomez Den - SF,PF ",FA,6,283,242,6%,14:40,1.3/2.5,.533,0.2/0.3,.500,0.3,3.2,2.0,0.7,0.5,0.5,0.2,0," SF,PF "
242,J. Calderon Det - PG ,FA,6,338,243,0%,14:49,1.2/2.2,.538,0.7/0.7,1.000,0.7,3.7,1.2,4.0,0.7,0.0,1.7,0, PG 
243,M. Kidd-Gilchrist Cha - SF ,FA,7,250,244,3%,23:00,2.4/5.3,.459,2.7/3.6,.760,0.4,8.0,3.9,0.7,0.4,0.6,0.7,0,Gilchrist Cha - SF 
244,"W. Ellington Mia - SG,SF ",FA,2,150,245,7%,6:00,1.5/3.0,.500,0.0/0.0,-,1.5,4.5,0.0,0.5,0.5,0.0,0.0,0," SG,SF "
245,"J. Clarkson Cle - PG,SG ",FA,7,217,246,61%,25:25,5.3/13.4,.394,1.1/1.4,.800,1.9,13.6,2.3,2.0,0.4,0.0,1.0,0," PG,SG "
246,M. Bridges Cha - SF ,FA,7,313,247,4%,16:34,3.0/6.1,.488,0.6/0.9,.667,0.4,7.0,3.1,1.1,0.0,0.4,0.1,0, SF 
247,K. Thomas Det - SG ,FA,5,463,248,0%,11:24,1.6/3.4,.471,0.0/0.0,-,0.8,4.0,0.6,0.0,0.6,0.4,0.0,0, SG 
248,"J. Noah Mem - PF,C ",FA,4,435,249,0%,12:15,1.3/3.0,.417,0.5/1.0,.500,0.0,3.0,5.8,1.8,0.8,0.3,0.8,0," PF,C "
249,"J. Bayless Min - PG,SG ",FA,4,415,250,5%,17:30,2.3/7.0,.321,0.0/0.0,-,1.3,5.8,1.8,2.5,0.8,0.0,0.5,0," PG,SG "
