,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos
46,R. O'Neale Uta - SF ,FA,7,263,47,6%,33:51,3.3/6.9,.479,1.1/1.3,.889,1.9,9.6,6.4,2.4,1.6,0.7,1.3,0, SF 
47,D. Ayton Pho - C ,Taxmaddness,4,63,48,96%,29:00,6.5/12.3,.531,2.3/3.5,.643,0.0,15.3,10.0,0.5,1.0,1.8,0.8,INJ, C 
48,"A. Horford Bos - PF,C ",14 is the new 24,7,43,49,96%,28:17,5.4/9.6,.567,1.3/1.3,1.000,0.9,13.0,6.9,2.4,0.7,1.3,2.0,0," PF,C "
49,"D. Green GS - PF,C ",Green Machine,6,31,50,98%,28:40,2.2/5.3,.406,1.3/2.0,.667,0.8,6.5,6.0,9.5,1.3,0.7,1.2,0," PF,C "
50,"J. Holiday NO - PG,SG ",Stay Out the Paint,6,20,51,100%,39:00,10.0/19.8,.504,2.0/3.7,.545,1.2,23.2,5.8,6.8,1.2,0.8,1.7,0," PG,SG "
51,"J. Barea Dal - PG,SG ",FA,1,222,52,3%,22:00,7.0/14.0,.500,1.0/1.0,1.000,1.0,16.0,4.0,7.0,0.0,0.0,0.0,INJ," PG,SG "
52,"J. Randle NO - PF,C ",Taxmaddness,6,72,53,94%,31:10,7.2/13.2,.544,5.7/6.8,.829,0.7,20.7,9.7,3.7,0.7,0.7,3.3,0," PF,C "
53,"N. Mirotic NO - SF,PF ",Taxmaddness,6,67,54,91%,25:30,4.2/10.3,.403,2.5/2.7,.938,3.0,13.8,4.8,1.3,0.3,1.5,0.8,0," SF,PF "
54,P. Siakam Tor - PF ,WinterHawk,7,140,55,85%,33:42,6.0/12.1,.494,3.0/3.6,.840,0.3,15.3,8.9,3.3,1.1,0.7,1.7,0, PF 
55,L. Ball LAL - PG ,FA,5,64,56,76%,33:00,5.4/13.6,.397,0.2/0.4,.500,2.0,13.0,6.6,8.2,1.6,0.2,2.0,INJ, PG 
56,"J. Richardson Mia - PG,SG,SF ",evan's Neat Team,6,56,57,92%,32:19,5.5/13.0,.423,1.8/2.2,.846,2.5,15.3,3.5,5.0,1.2,0.0,0.5,0," PG,SG,SF "
57,"R. Gay SA - SF,PF ",evan's Neat Team,4,142,58,72%,28:45,7.8/12.0,.646,2.3/2.5,.900,0.3,18.0,5.0,2.5,0.8,0.8,2.8,0," SF,PF "
58,"D. Bertans SA - PF,C ",FA,6,177,59,9%,26:49,3.3/6.0,.556,0.0/0.2,.000,3.0,9.7,4.7,1.0,0.7,1.2,0.7,0," PF,C "
59,K. Walker Cha - PG ,Taxmaddness,7,15,60,100%,34:25,9.1/21.1,.432,2.4/3.1,.773,3.7,24.4,3.7,4.9,1.6,0.4,3.1,0, PG 
60,"T. Satoransky Was - PG,SG ",You Reach I Teach,4,257,61,61%,34:45,4.8/9.8,.487,1.0/1.3,.800,1.0,11.5,6.3,6.3,2.0,0.3,2.8,0," PG,SG "
61,"W. Cauley-Stein Sac - PF,C ",Taxmaddness,7,118,62,85%,27:00,5.0/8.3,.603,1.4/2.0,.714,0.0,11.4,9.0,3.1,1.0,0.6,1.3,0,"Stein Sac - PF,C "
62,J. Redick Phi - SG ,evan's Neat Team,7,82,63,85%,32:08,6.0/13.7,.438,3.3/3.6,.920,3.9,19.1,2.0,2.4,0.6,0.3,1.3,0, SG 
63,"M. Brogdon Mil - PG,SG ",The Monstars,6,105,64,80%,28:10,5.7/11.5,.493,3.0/3.5,.857,0.8,15.2,4.0,3.2,1.5,0.5,1.5,0," PG,SG "
64,"M. Beasley Den - PG,SG ",FA,7,277,65,19%,30:34,5.3/8.9,.597,0.1/0.1,1.000,3.1,13.9,2.4,1.6,0.6,0.1,0.7,0," PG,SG "
65,T. Bryant Was - C ,WinterHawk,4,287,66,53%,25:00,5.5/9.0,.611,1.0/1.3,.800,0.5,12.5,9.3,0.8,0.3,1.3,1.5,0, C 
66,"M. Smart Bos - PG,SG ",FA,7,176,67,38%,28:51,3.3/7.0,.469,1.3/1.4,.900,2.4,10.3,2.6,3.0,1.3,0.4,1.1,0," PG,SG "
67,"T. Ross Orl - SG,SF ",FA,7,264,68,52%,29:17,6.3/14.3,.440,2.0/2.4,.824,2.6,17.1,3.0,2.1,1.3,0.4,1.0,0," SG,SF "
68,I. Zubac LAL - C ,You Reach I Teach,6,317,69,36%,17:10,5.2/7.2,.721,3.5/3.8,.913,0.0,13.8,5.5,0.7,0.0,0.8,1.0,0, C 
69,"J. Tatum Bos - SF,PF ",The Monstars,8,50,70,98%,31:37,6.3/13.8,.455,3.5/4.1,.848,1.3,17.3,5.5,2.1,0.8,1.3,1.8,0," SF,PF "
70,"M. Bridges Pho - SG,SF ",FA,6,267,71,24%,28:00,2.8/6.2,.459,0.8/0.8,1.000,1.2,7.7,2.7,2.0,1.7,0.8,0.7,0," SG,SF "
71,A. Trier NY - SG ,FA,5,336,72,19%,22:48,4.4/8.0,.550,3.6/3.6,1.000,0.6,13.0,4.2,3.2,0.8,0.4,2.0,0, SG 
72,"D. Sabonis Ind - PF,C ",The Monstars,6,190,73,85%,23:00,5.7/9.3,.607,2.7/3.8,.696,0.3,14.3,9.3,1.8,0.5,0.3,0.7,0," PF,C "
73,"J. Murray Den - PG,SG ",14 is the new 24,7,40,74,98%,30:17,7.1/15.4,.463,2.7/3.0,.905,3.0,20.0,3.7,3.9,0.6,0.1,2.1,0," PG,SG "
74,"M. Harrell LAC - PF,C ",Green Machine,8,143,75,84%,28:30,6.1/10.4,.590,3.1/4.4,.714,0.0,15.4,7.3,2.1,0.8,1.3,1.6,0," PF,C "
75,A. Zizic Cle - C ,Sometimes I Dribble,7,243,76,35%,26:42,5.7/9.3,.615,3.4/4.3,.800,0.0,14.9,7.6,0.6,0.6,0.6,0.9,0, C 
76,"M. Williams Cha - SF,PF ",FA,7,124,77,56%,27:51,3.0/8.3,.362,1.1/1.4,.800,2.4,9.6,5.0,1.9,1.1,1.0,0.6,0," SF,PF "
77,"B. Bogdanovic Sac - SG,SF ",Stay Out the Paint,7,108,78,77%,28:25,6.6/13.6,.484,0.9/1.1,.750,1.6,15.6,4.0,5.4,1.4,0.3,2.6,0," SG,SF "
78,"A. Iguodala GS - SG,SF ",FA,6,247,79,7%,22:49,3.0/5.3,.563,0.5/1.2,.429,0.7,7.2,5.2,3.2,1.5,0.5,0.3,0," SG,SF "
79,D. Jordan Dal - C ,Westbrook 4 Kidd,6,65,80,96%,31:19,5.2/7.8,.660,1.8/3.7,.500,0.0,12.2,14.2,1.5,0.7,1.3,1.7,0, C 
80,K. Oubre Jr. Pho - SF ,FA,6,136,81,68%,28:10,6.7/13.8,.482,3.2/5.0,.633,2.7,19.2,6.5,1.2,1.2,1.2,2.0,0, SF 
81,"C. McCollum Por - PG,SG ",Green Machine,7,28,82,99%,33:17,7.6/16.9,.449,1.6/1.9,.846,3.0,19.7,4.4,2.4,0.7,0.1,1.4,0," PG,SG "
82,"D. White SA - PG,SG ",Green Machine,7,145,83,55%,34:08,5.3/9.4,.561,1.7/2.9,.600,1.1,13.4,4.9,4.7,1.1,1.0,1.9,0," PG,SG "
83,T. McConnell Phi - PG ,FA,7,237,84,8%,22:34,4.1/6.9,.604,0.3/0.3,1.000,0.1,8.7,2.7,5.6,1.1,0.4,1.3,0, PG 
84,"D. Finney-Smith Dal - SF,PF ",FA,6,282,85,2%,24:00,3.0/6.0,.500,0.3/0.3,1.000,1.3,7.7,4.8,1.2,1.2,0.5,0.5,0,"Smith Dal - SF,PF "
85,L. Markkanen Chi - PF ,You Reach I Teach,7,89,86,89%,30:51,6.6/14.7,.447,1.7/2.0,.857,2.7,17.6,6.6,0.4,0.4,0.7,1.3,0, PF 
86,"N. Batum Cha - SG,SF ",FA,7,70,87,68%,29:51,3.1/6.0,.524,2.6/3.0,.857,1.7,10.6,5.1,3.0,1.1,0.6,2.3,0," SG,SF "
87,"D. Wright Tor - PG,SG ",FA,7,170,88,4%,19:25,3.3/6.7,.489,1.6/1.7,.917,0.6,8.7,3.0,2.6,1.3,0.4,0.7,0," PG,SG "
88,"A. Aminu Por - SF,PF ",FA,7,152,89,62%,29:17,3.4/7.9,.436,2.3/3.0,.762,1.1,10.3,9.1,2.1,1.0,0.1,0.6,0," SF,PF "
89,"T. Ferguson OKC - SG,SF ",FA,7,315,90,5%,30:51,4.4/8.3,.534,0.4/0.7,.600,3.3,12.6,2.4,1.1,1.0,0.1,0.9,0," SG,SF "
90,"L. Kornet NY - PF,C ",FA,4,209,91,6%,24:00,3.5/8.8,.400,2.0/2.5,.800,2.0,11.0,3.0,2.5,1.8,0.5,1.3,INJ," PF,C "
91,"C. Hutchison Chi - SG,SF ",FA,7,348,92,1%,28:51,3.6/6.4,.556,0.9/1.0,.857,0.6,8.6,6.1,0.9,1.0,0.3,0.6,0," SG,SF "
92,"W. Chandler Phi - SG,SF,PF ",FA,7,203,93,4%,30:08,2.7/6.1,.442,0.7/0.9,.833,1.7,7.9,5.1,1.7,1.0,0.9,1.0,0," SG,SF,PF "
93,E. Gordon Hou - SG ,WinterHawk,4,100,94,74%,29:15,5.8/13.8,.418,4.5/5.5,.818,3.5,19.5,4.0,2.0,0.8,0.0,1.5,0, SG 
94,"A. Drummond Det - PF,C ",14 is the new 24,5,25,95,100%,30:36,5.2/11.0,.473,1.8/2.4,.750,0.0,12.2,14.0,0.8,1.2,0.8,2.6,INJ," PF,C "
95,"K. Looney GS - PF,C ",FA,6,268,96,8%,24:00,2.8/5.7,.500,0.8/1.8,.455,0.0,6.5,8.0,3.0,1.3,1.3,0.8,0," PF,C "
96,"L. Doncic Dal - PG,SG,SF ",14 is the new 24,6,92,97,96%,32:00,7.0/18.0,.389,4.5/6.5,.692,2.0,20.5,7.5,7.8,1.5,0.3,2.7,0," PG,SG,SF "
97,D. House Jr. Hou - SG ,FA,3,331,98,1%,32:00,5.0/11.3,.441,1.0/1.0,1.000,3.3,14.3,3.3,1.7,0.7,0.7,2.0,0, SG 
98,D. Rose Min - PG ,Green Machine,5,269,99,83%,27:36,7.0/15.6,.449,4.4/4.8,.917,0.8,19.2,2.6,4.6,0.2,0.2,1.0,0, PG 
99,"E. Fournier Orl - SG,SF ",FA,7,79,100,77%,36:25,6.4/14.3,.450,2.9/3.4,.833,1.4,17.1,3.4,4.0,1.0,0.0,1.4,0," SG,SF "
100,"J. Jones Cle - SG,SF ",FA,1,433,101,0%,20:00,3.0/6.0,.500,3.0/4.0,.750,3.0,12.0,2.0,1.0,0.0,1.0,0.0,0," SG,SF "
101,K. Lowry Tor - PG ,WinterHawk,7,24,102,100%,35:17,3.9/11.3,.342,3.6/4.4,.806,2.0,13.3,5.0,8.1,1.1,0.6,2.9,0, PG 
102,"T. Gibson Min - PF,C ",FA,6,161,103,54%,25:49,4.8/8.0,.604,2.7/3.3,.800,0.0,12.3,7.5,1.2,0.5,0.7,1.5,0," PF,C "
103,"J. Parker Chi - SF,PF ",FA,5,112,104,40%,16:36,4.4/7.6,.579,2.8/3.4,.824,1.4,13.0,4.2,2.0,0.4,0.2,1.0,0," SF,PF "
104,"P. Beverley LAC - PG,SG ",FA,8,147,105,25%,30:30,1.9/5.4,.349,1.4/2.1,.647,1.1,6.3,6.8,3.4,1.1,1.0,0.9,0," PG,SG "
105,J. Layman Por - PF ,FA,7,332,106,2%,22:00,5.4/9.4,.576,0.4/0.4,1.000,1.4,12.7,2.9,0.9,0.1,0.3,0.1,0, PF 
106,"J. Winslow Mia - PG,SF,PF ",14 is the new 24,7,180,107,70%,30:42,5.6/11.3,.494,1.7/2.3,.750,1.9,14.7,5.7,5.0,0.6,0.3,2.4,0," PG,SF,PF "
107,"J. Isaac Orl - SF,PF ",FA,7,86,108,47%,30:51,3.4/7.9,.436,1.0/1.1,.875,1.1,9.0,5.7,2.3,0.4,1.1,1.0,0," SF,PF "
108,"B. Biyombo Cha - PF,C ",FA,7,302,109,13%,22:34,2.4/4.7,.515,2.1/2.9,.750,0.0,7.0,8.7,1.1,0.3,1.6,0.7,0," PF,C "
109,"C. Miles Tor - SG,SF ",FA,5,231,110,1%,13:48,3.2/7.0,.457,1.0/1.4,.714,2.0,9.4,2.0,0.4,1.4,0.4,0.2,0," SG,SF "
110,D. Bembry Atl - SF ,FA,6,286,111,15%,33:19,5.0/9.7,.517,1.2/1.7,.700,0.7,11.8,4.8,4.0,1.5,0.5,2.5,0, SF 
111,"T. Warren Pho - SF,PF ",You Reach I Teach,6,168,112,76%,32:40,5.2/12.0,.431,1.8/2.2,.846,1.0,13.2,3.7,1.2,1.3,0.8,1.2,0," SF,PF "
112,"K. Birch Orl - PF,C ",FA,3,366,113,0%,15:19,2.0/3.0,.667,0.7/1.0,.667,0.0,4.7,4.7,2.0,0.0,1.7,0.3,0," PF,C "
113,D. Augustin Orl - PG ,FA,7,131,114,45%,29:00,4.6/8.9,.516,2.1/2.4,.882,2.1,13.4,1.9,4.6,0.6,0.0,2.0,0, PG 
114,"M. Plumlee Den - PF,C ",FA,7,271,115,10%,17:17,3.3/4.9,.676,1.3/2.0,.643,0.0,7.9,5.7,3.1,0.4,0.9,0.9,0," PF,C "
115,"T. Hardaway Jr. NY - SG,SF ",Sometimes I Dribble,4,69,116,88%,28:45,4.8/12.0,.396,3.5/4.0,.875,3.0,16.0,3.5,1.8,0.5,0.0,1.0,0," SG,SF "
116,"A. Len Atl - PF,C ",FA,6,191,117,15%,19:10,5.0/9.2,.545,2.3/3.3,.700,0.3,12.7,7.5,1.2,0.7,1.0,1.5,0," PF,C "
117,F. VanVleet Tor - PG ,FA,6,103,118,50%,27:10,3.5/9.0,.389,1.7/2.0,.833,1.7,10.3,2.8,4.8,0.8,0.5,1.2,0, PG 
118,J. Okogie Min - SG ,FA,6,339,119,10%,24:30,3.8/8.3,.460,2.7/3.2,.842,1.8,12.2,2.7,1.7,1.2,0.2,1.3,0, SG 
119,M. Kleber Dal - PF ,FA,6,253,120,4%,23:00,2.0/4.5,.444,1.2/1.3,.875,1.3,6.5,4.2,0.3,0.8,1.2,1.0,0, PF 
