,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos,name,games_this_week
52,"A. Gordon Orl - SF,PF ",Sometimes I Dribble,5,41,53,98%,33:24,7.0/12.8,.547,2.4/2.8,.857,1.4,17.8,7.4,4.0,0.6,0.4,2.2,0," SF,PF ","A. Gordon Orl - SF,PF ",3.0
53,"J. Randle NO - PF,C ",Taxmaddness,5,72,54,94%,30:36,7.2/13.2,.545,5.2/6.2,.839,0.8,20.4,9.4,3.8,0.8,0.8,3.6,0," PF,C ","J. Randle NO - PF,C ",3.0
54,D. Jordan Dal - C ,Westbrook 4 Kidd,6,65,55,96%,31:30,5.5/8.3,.660,2.0/3.5,.571,0.0,13.0,13.5,1.8,0.5,1.3,1.2,0, C ,D. Jordan Dal - C ,3.0
55,R. Westbrook OKC - PG ,Westbrook 4 Kidd,6,10,56,100%,36:30,8.2/20.5,.398,6.7/9.3,.714,1.5,24.5,10.3,11.5,1.7,0.2,3.5,0, PG ,R. Westbrook OKC - PG ,3.0
56,"J. Tatum Bos - SF,PF ",The Monstars,7,50,57,98%,32:00,6.7/14.0,.480,3.0/3.6,.840,1.4,17.9,5.6,2.6,0.7,1.3,1.6,0," SF,PF ","J. Tatum Bos - SF,PF ",4.0
57,"D. Green GS - PF,C ",Green Machine,7,31,58,98%,31:08,2.4/5.7,.425,1.1/2.0,.571,1.0,7.0,7.9,9.3,1.6,0.7,1.9,0," PF,C ","D. Green GS - PF,C ",3.0
58,"O. Porter Jr. Was - SF,PF ",14 is the new 24,5,30,59,95%,34:12,6.2/15.2,.408,1.8/2.2,.818,2.4,16.6,7.6,1.2,1.4,0.4,0.8,0," SF,PF ","O. Porter Jr. Was - SF,PF ",3.0
59,J. Redick Phi - SG ,evan's Neat Team,7,82,60,86%,31:08,6.3/13.4,.468,3.0/3.3,.913,3.9,19.4,2.1,2.6,0.4,0.3,1.4,0, SG ,J. Redick Phi - SG ,3.0
60,"A. Aminu Por - SF,PF ",FA,8,152,61,59%,27:52,3.4/7.1,.474,2.9/3.5,.821,1.3,10.9,9.0,2.3,0.9,0.3,0.6,0," SF,PF ","A. Aminu Por - SF,PF ",1.0
61,"C. Capela Hou - PF,C ",The Monstars,1,39,62,97%,36:00,8.0/12.0,.667,1.0/2.0,.500,0.0,17.0,10.0,3.0,0.0,0.0,0.0,INJ," PF,C ","C. Capela Hou - PF,C ",3.0
62,D. Ayton Pho - C ,Taxmaddness,3,63,63,96%,28:40,5.7/10.3,.548,1.7/2.7,.625,0.0,13.0,9.0,0.7,1.3,1.3,1.0,INJ, C ,D. Ayton Pho - C ,2.0
63,"D. White SA - PG,SG ",Green Machine,6,145,64,58%,31:10,4.8/8.3,.580,1.7/2.5,.667,1.2,12.5,4.2,4.2,1.3,0.8,1.5,0," PG,SG ","D. White SA - PG,SG ",3.0
64,A. Trier NY - SG ,FA,5,333,65,27%,24:24,4.8/8.8,.545,4.0/4.2,.952,1.0,14.6,4.2,3.2,1.2,0.2,2.2,0, SG ,A. Trier NY - SG ,4.0
65,"D. Bertans SA - PF,C ",FA,4,177,66,8%,26:15,3.3/5.8,.565,0.0/0.3,.000,2.8,9.3,5.0,0.8,0.3,1.3,0.5,0," PF,C ","D. Bertans SA - PF,C ",3.0
66,"M. Brogdon Mil - PG,SG ",The Monstars,6,105,67,80%,27:49,6.0/12.2,.493,3.0/3.5,.857,0.8,15.8,3.8,2.0,1.7,0.3,1.0,0," PG,SG ","M. Brogdon Mil - PG,SG ",3.0
67,"T. Satoransky Was - PG,SG ",You Reach I Teach,5,257,68,65%,35:48,4.6/10.0,.460,1.0/1.4,.714,1.2,11.4,3.8,6.6,2.0,0.2,1.8,0," PG,SG ","T. Satoransky Was - PG,SG ",3.0
68,"D. Cousins GS - PF,C ",Taxmaddness,4,172,69,87%,20:45,4.8/10.3,.463,2.8/3.5,.786,1.3,13.5,7.3,3.5,1.0,0.8,1.8,0," PF,C ",3,3.0
69,"M. Bridges Pho - SG,SF ",FA,7,268,70,23%,29:42,2.9/6.3,.455,0.7/0.7,1.000,1.1,7.6,3.4,1.9,1.6,0.9,0.6,0," SG,SF ","M. Bridges Pho - SG,SF ",2.0
70,M. Robinson NY - C ,FA,4,311,71,18%,14:45,3.5/4.0,.875,0.5/1.3,.400,0.0,7.5,3.3,0.3,0.5,2.5,0.0,0, C ,M. Robinson NY - C ,4.0
71,"B. Simmons Phi - PG,SF ",Westbrook 4 Kidd,7,14,72,100%,32:51,6.9/12.6,.545,3.4/5.3,.649,0.0,17.1,11.9,8.6,0.6,1.0,3.6,0," PG,SF ","B. Simmons Phi - PG,SF ",3.0
72,"M. Williams Cha - SF,PF ",FA,6,124,73,56%,29:00,3.7/8.7,.423,1.2/1.5,.778,2.8,11.3,5.0,1.8,1.2,0.5,1.0,0," SF,PF ","M. Williams Cha - SF,PF ",4.0
73,"D. Finney-Smith Dal - SF,PF ",FA,6,279,74,2%,23:40,3.3/6.0,.556,0.5/0.7,.750,1.7,8.8,5.3,1.3,1.3,0.3,0.5,0,"Smith Dal - SF,PF ","D. Finney-Smith Dal - SF,PF ",3.0
74,"J. Parker Chi - SF,PF ",FA,5,112,75,43%,17:24,4.6/7.4,.622,3.0/3.6,.833,1.6,13.8,3.6,2.2,0.6,0.4,1.0,0," SF,PF ","J. Parker Chi - SF,PF ",3.0
75,"T. Ross Orl - SG,SF ",FA,7,264,76,52%,29:34,6.0/13.4,.447,1.6/2.0,.786,2.3,15.9,3.3,2.4,1.3,0.4,1.0,0," SG,SF ","T. Ross Orl - SG,SF ",3.0
76,S. Milton Phi - PG ,FA,1,447,77,0%,20:00,4.0/7.0,.571,0.0/0.0,-,3.0,11.0,1.0,1.0,1.0,0.0,0.0,0, PG ,3,3.0
77,J. Okafor NO - C ,FA,7,340,78,49%,21:08,5.6/8.1,.684,1.0/2.0,.500,0.0,12.1,8.7,0.6,0.3,1.6,1.0,0, C ,J. Okafor NO - C ,3.0
78,"M. Beasley Den - PG,SG ",FA,7,274,79,16%,26:34,5.0/8.7,.574,0.9/0.9,1.000,2.6,13.4,2.7,0.9,0.6,0.0,0.6,0," PG,SG ","M. Beasley Den - PG,SG ",4.0
79,R. O'Neale Uta - SF ,FA,6,263,80,4%,30:30,2.8/5.2,.548,1.2/1.5,.778,1.0,7.8,4.8,2.3,1.5,0.7,1.2,0, SF ,R. O'Neale Uta - SF ,3.0
80,"L. Doncic Dal - PG,SG,SF ",14 is the new 24,6,92,81,96%,32:00,6.8/17.3,.394,5.2/7.0,.738,2.2,21.0,7.5,7.2,1.5,0.5,3.2,0," PG,SG,SF ","L. Doncic Dal - PG,SG,SF ",3.0
81,"M. Belinelli SA - SG,SF ",FA,5,158,82,27%,26:00,4.4/10.0,.440,3.0/3.0,1.000,2.6,14.4,2.6,2.6,0.6,0.2,1.2,0," SG,SF ","M. Belinelli SA - SG,SF ",3.0
82,E. Gordon Hou - SG ,W (Jan 29),5,100,83,75%,30:48,6.2/15.4,.403,4.8/5.6,.857,3.2,20.4,3.6,1.6,1.2,0.2,1.6,0, SG ,E. Gordon Hou - SG ,3.0
83,"C. McCollum Por - PG,SG ",Green Machine,8,28,84,99%,33:15,7.4/17.0,.434,2.0/2.4,.842,2.8,19.5,4.8,3.4,0.8,0.1,1.6,0," PG,SG ","C. McCollum Por - PG,SG ",1.0
84,"M. Smart Bos - PG,SG ",FA,6,176,85,38%,27:30,3.0/7.2,.419,1.2/1.2,1.000,2.2,9.3,2.8,3.3,1.5,0.3,1.3,0," PG,SG ","M. Smart Bos - PG,SG ",4.0
85,"A. Len Atl - PF,C ",FA,6,191,86,16%,19:19,4.8/9.3,.518,2.5/3.2,.789,0.5,12.7,7.3,1.5,0.7,1.0,1.0,0," PF,C ","A. Len Atl - PF,C ",4.0
86,"A. Drummond Det - PF,C ",14 is the new 24,4,25,87,100%,29:30,5.5/12.3,.449,2.0/3.0,.667,0.0,13.0,13.3,0.5,1.5,0.5,1.0,0," PF,C ","A. Drummond Det - PF,C ",3.0
87,"O. Casspi Mem - SF,PF ",FA,6,318,88,1%,24:40,4.7/8.5,.549,1.7/2.0,.833,0.8,11.8,4.0,0.7,1.7,0.5,1.5,0," SF,PF ","O. Casspi Mem - SF,PF ",4.0
88,"N. Batum Cha - SG,SF ",WinterHawk,6,70,89,70%,32:40,3.7/7.5,.489,2.8/3.2,.895,1.8,12.0,4.7,2.8,1.0,0.5,2.0,0," SG,SF ","N. Batum Cha - SG,SF ",4.0
89,K. Oubre Jr. Pho - SF ,FA,7,136,90,70%,29:17,6.0/14.0,.429,3.1/4.4,.710,2.0,17.1,5.3,2.0,1.0,1.6,1.7,0, SF ,K. Oubre Jr. Pho - SF ,2.0
90,"T. Gibson Min - PF,C ",FA,6,161,91,53%,24:30,4.3/6.8,.634,4.0/4.7,.857,0.0,12.7,7.0,1.2,0.5,0.8,1.5,0," PF,C ","T. Gibson Min - PF,C ",2.0
91,"L. Williams LAC - PG,SG ",The Monstars,5,55,92,91%,26:36,7.2/16.8,.429,4.6/5.8,.793,1.0,20.0,5.4,6.2,0.8,0.4,1.6,0," PG,SG ","L. Williams LAC - PG,SG ",4.0
92,B. Caboclo Mem - SF ,FA,2,467,93,1%,18:30,1.5/4.5,.333,1.0/1.0,1.000,1.5,5.5,2.5,0.5,1.0,1.5,0.0,0, SF ,3,3.0
93,"W. Chandler Phi - SG,SF,PF ",FA,6,203,94,3%,30:49,3.0/5.8,.514,0.5/0.7,.750,1.8,8.3,5.5,1.8,0.8,0.8,1.2,0," SG,SF,PF ","W. Chandler Phi - SG,SF,PF ",3.0
94,T. Bryant Was - C ,WinterHawk,5,285,95,52%,23:24,5.8/8.8,.659,0.6/1.2,.500,0.6,12.8,8.6,1.6,0.2,0.8,1.6,0, C ,T. Bryant Was - C ,3.0
95,J. Layman Por - PF ,FA,8,327,96,4%,23:07,5.6/9.9,.570,0.6/0.6,1.000,1.4,13.3,3.5,1.0,0.3,0.5,0.6,0, PF ,J. Layman Por - PF ,1.0
96,I. Zubac LAL - C ,You Reach I Teach,6,319,97,35%,18:19,5.3/7.5,.711,3.2/3.5,.905,0.0,13.8,6.0,0.7,0.0,0.7,1.7,0, C ,I. Zubac LAL - C ,3.0
97,"K. Looney GS - PF,C ",FA,7,267,98,8%,22:34,2.7/5.3,.514,1.3/2.0,.643,0.0,6.7,8.1,2.1,1.1,1.0,0.7,0," PF,C ","K. Looney GS - PF,C ",3.0
98,K. Lowry Tor - PG ,WinterHawk,7,24,99,100%,37:25,4.0/12.1,.329,4.0/4.7,.848,2.0,14.0,5.3,8.6,1.1,0.6,3.4,0, PG ,K. Lowry Tor - PG ,2.0
99,"C. Brewer Phi - SG,SF ",FA,4,345,100,2%,25:15,4.0/8.5,.471,1.8/2.5,.700,1.0,10.8,3.0,1.8,2.3,0.5,1.5,0," SG,SF ",3,3.0
100,"A. Iguodala GS - SG,SF ",FA,7,247,101,7%,24:17,2.9/5.3,.541,1.1/2.1,.533,0.6,7.4,5.0,3.7,1.3,0.6,0.3,0," SG,SF ","A. Iguodala GS - SG,SF ",3.0
101,M. Kleber Dal - PF ,FA,6,253,102,4%,21:40,2.2/5.0,.433,0.5/0.7,.750,1.5,6.3,4.2,0.5,1.0,1.5,1.0,0, PF ,M. Kleber Dal - PF ,3.0
102,"T. Ferguson OKC - SG,SF ",FA,6,315,103,5%,30:00,4.5/9.2,.491,0.5/0.8,.600,2.7,12.2,2.5,1.5,1.2,0.0,0.8,0," SG,SF ","T. Ferguson OKC - SG,SF ",3.0
103,A. Zizic Cle - C ,Sometimes I Dribble,7,243,104,38%,27:08,5.4/9.1,.594,3.0/4.0,.750,0.0,13.9,7.7,0.7,0.4,0.7,1.0,0, C ,A. Zizic Cle - C ,2.0
104,"J. Isaac Orl - SF,PF ",FA,7,86,105,49%,30:25,3.7/8.1,.456,0.7/0.9,.833,1.0,9.1,6.0,2.3,0.4,1.1,1.0,0," SF,PF ","J. Isaac Orl - SF,PF ",3.0
105,"P. Beverley LAC - PG,SG ",FA,7,147,106,24%,32:00,2.0/6.3,.318,1.6/2.4,.647,1.1,6.7,7.7,3.7,1.1,1.0,1.0,0," PG,SG ","P. Beverley LAC - PG,SG ",4.0
106,"C. Hutchison Chi - SG,SF ",FA,6,349,107,1%,31:30,3.8/7.7,.500,1.0/1.3,.750,0.5,9.2,7.0,1.0,1.0,0.3,0.5,INJ," SG,SF ","C. Hutchison Chi - SG,SF ",3.0
107,"B. Biyombo Cha - PF,C ",FA,6,303,108,11%,21:10,2.5/4.0,.625,2.5/3.3,.750,0.0,7.5,8.3,1.0,0.3,1.3,1.0,0," PF,C ","B. Biyombo Cha - PF,C ",4.0
108,"P. Millsap Den - PF,C ",Stay Out the Paint,7,60,109,88%,21:51,4.1/7.1,.580,1.9/2.3,.813,0.6,10.7,5.7,1.1,1.0,0.0,0.9,0," PF,C ","P. Millsap Den - PF,C ",4.0
109,T. McConnell Phi - PG ,FA,7,237,110,9%,21:34,3.4/6.7,.511,0.1/0.1,1.000,0.1,7.1,2.7,5.6,1.0,0.6,1.1,0, PG ,T. McConnell Phi - PG ,3.0
110,"D. Wright Tor - PG,SG ",FA,6,170,111,4%,18:49,3.0/6.0,.500,1.7/1.8,.909,0.5,8.2,2.7,2.7,1.0,0.5,0.8,0," PG,SG ","D. Wright Tor - PG,SG ",2.0
111,"S. Ibaka Tor - PF,C ",evan's Neat Team,7,78,112,90%,32:00,7.7/14.9,.519,1.7/2.4,.706,0.3,17.4,8.6,0.7,0.1,0.9,1.4,0," PF,C ","S. Ibaka Tor - PF,C ",2.0
112,"A. Rivers Hou - PG,SG ",FA,7,194,113,11%,37:51,4.1/10.6,.392,0.3/0.7,.400,1.6,10.1,2.9,4.6,1.0,0.6,0.3,0," PG,SG ","A. Rivers Hou - PG,SG ",3.0
