,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ,pos,name,games_this_week
141,F. VanVleet Tor - PG ,FA,6,103,142,49%,27:30,3.5/9.2,.382,1.8/2.0,.917,1.2,10.0,3.2,4.5,0.7,0.5,1.3,0, PG ,F. VanVleet Tor - PG ,2.0
142,T. Prince Atl - SF ,FA,6,53,143,76%,22:40,4.0/9.7,.414,0.3/0.3,1.000,1.3,9.7,4.8,1.2,1.0,0.3,0.8,0, SF ,T. Prince Atl - SF ,4.0
143,"W. Barton Den - SG,SF ",Stay Out the Paint,6,49,144,87%,23:19,4.3/9.8,.441,2.0/2.5,.800,1.8,12.5,4.5,3.0,0.2,0.5,1.3,0," SG,SF ","W. Barton Den - SG,SF ",4.0
144,"S. Curry Por - PG,SG ",FA,8,196,145,2%,19:45,3.1/6.4,.490,0.3/0.3,1.000,1.4,7.9,2.4,1.8,0.6,0.4,0.5,0," PG,SG ","S. Curry Por - PG,SG ",1.0
145,P. Mills SA - PG ,FA,6,175,146,13%,22:10,3.7/9.2,.400,0.7/0.8,.800,2.0,10.0,2.0,3.5,0.7,0.2,0.8,0, PG ,P. Mills SA - PG ,3.0
146,"M. Leonard Por - PF,C ",FA,7,291,147,1%,15:34,2.7/4.0,.679,0.9/0.9,1.000,1.3,7.6,3.1,1.0,0.3,0.0,0.6,0," PF,C ","M. Leonard Por - PF,C ",1.0
147,"B. Bogdanovic Ind - SG,SF ",You Reach I Teach,6,132,148,75%,32:30,5.0/12.0,.417,3.8/4.3,.885,1.3,15.2,4.8,1.7,0.3,0.0,0.8,0," SG,SF ","B. Bogdanovic Ind - SG,SF ",4.0
148,"S. Brown Mil - SG,SF ",FA,6,317,149,0%,21:10,3.0/5.0,.600,1.0/1.2,.857,1.7,8.7,2.7,2.7,0.5,0.2,1.7,0," SG,SF ","S. Brown Mil - SG,SF ",3.0
149,D. Schroder OKC - PG ,The Monstars,6,135,150,68%,23:40,5.2/12.2,.425,2.5/2.8,.882,2.3,15.2,2.2,3.5,0.8,0.0,2.3,0, PG ,D. Schroder OKC - PG ,3.0
150,"R. Williams Bos - PF,C ",FA,2,373,151,1%,11:30,1.0/2.0,.500,0.0/0.0,-,0.0,2.0,1.0,0.5,0.5,2.0,0.0,0," PF,C ","R. Williams Bos - PF,C ",4.0
151,M. Morris Den - PG ,FA,7,275,152,10%,21:42,4.4/7.6,.585,0.0/0.1,.000,1.1,10.0,1.1,2.1,0.6,0.0,0.4,0, PG ,M. Morris Den - PG ,4.0
152,"J. Harris Bkn - SG,SF ",FA,6,128,153,60%,32:40,5.0/11.7,.429,1.8/2.3,.786,2.0,13.8,5.2,3.7,0.7,0.0,2.2,0," SG,SF ","J. Harris Bkn - SG,SF ",4.0
153,D. Wilson Mil - PF ,FA,6,381,154,0%,17:30,2.5/5.0,.500,0.0/0.3,.000,1.2,6.2,4.5,1.3,0.2,1.0,0.5,0, PF ,D. Wilson Mil - PF ,3.0
154,"N. Powell Tor - SG,SF ",FA,7,306,155,1%,19:42,3.9/7.0,.551,0.9/1.6,.545,1.6,10.1,1.0,2.3,1.3,0.1,1.1,0," SG,SF ","N. Powell Tor - SG,SF ",2.0
155,W. Hernangomez Cha - C ,FA,6,204,156,5%,16:49,3.3/5.5,.606,1.3/1.8,.727,0.2,8.2,7.8,0.7,0.2,0.3,0.7,0, C ,W. Hernangomez Cha - C ,4.0
156,"T. Rozier Bos - PG,SG ",FA,7,115,157,43%,22:34,3.3/8.4,.390,0.7/0.7,1.000,1.6,8.9,4.3,3.1,0.7,0.1,1.3,0," PG,SG ","T. Rozier Bos - PG,SG ",4.0
157,"J. Ennis III Hou - SG,SF ",FA,6,280,158,1%,23:49,2.2/4.5,.481,1.5/2.0,.750,0.8,6.7,3.3,0.5,1.3,0.5,0.8,0," SG,SF ","J. Ennis III Hou - SG,SF ",3.0
158,M. Harkless Por - SF ,FA,5,189,159,3%,22:12,3.2/5.6,.571,1.0/1.2,.833,0.4,7.8,3.2,1.2,0.8,0.6,1.2,0, SF ,M. Harkless Por - SF ,1.0
159,"K. Korver Uta - SG,SF ",FA,6,199,160,10%,24:19,4.2/9.2,.455,1.5/1.7,.900,2.8,12.7,2.8,1.2,0.2,0.0,1.2,0," SG,SF ","K. Korver Uta - SG,SF ",3.0
160,L. Walker IV SA - SG ,FA,1,515,161,1%,15:00,3.0/6.0,.500,0.0/0.0,-,1.0,7.0,5.0,1.0,1.0,0.0,1.0,0, SG ,3,3.0
161,"A. Burks Cle - PG,SG ",Sometimes I Dribble,7,272,162,15%,25:08,2.9/8.0,.357,2.6/3.1,.818,0.9,9.1,6.7,2.4,0.7,0.6,1.6,0," PG,SG ","A. Burks Cle - PG,SG ",2.0
162,K. Huerter Atl - SG ,FA,4,228,163,31%,32:45,4.3/11.3,.378,1.0/1.5,.667,2.8,12.3,2.5,3.8,1.3,0.3,2.3,0, SG ,K. Huerter Atl - SG ,4.0
163,"G. Green Hou - SG,SF ",FA,7,232,164,7%,28:00,3.7/11.0,.338,1.0/1.3,.778,2.6,11.0,3.4,1.6,0.3,0.9,0.6,0," SG,SF ","G. Green Hou - SG,SF ",3.0
164,H. Whiteside Mia - C ,WinterHawk,6,81,165,91%,24:00,5.7/8.0,.708,1.2/3.8,.304,0.0,12.5,10.8,1.3,0.5,1.5,1.8,0, C ,H. Whiteside Mia - C ,3.0
165,"N. Noel OKC - PF,C ",FA,5,229,166,8%,13:36,2.0/3.2,.625,0.0/0.0,-,0.0,4.0,3.4,0.6,1.4,0.4,0.8,0," PF,C ","N. Noel OKC - PF,C ",3.0
166,"B. Portis Chi - PF,C ",FA,6,181,167,51%,25:49,5.2/13.0,.397,1.0/1.2,.857,1.2,12.5,8.8,2.2,0.3,0.0,1.2,0," PF,C ","B. Portis Chi - PF,C ",3.0
167,"J. Hart LAL - SG,SF ",FA,6,125,168,43%,25:40,2.3/6.2,.378,1.0/1.2,.857,1.2,6.8,4.7,2.0,1.0,0.5,1.3,0," SG,SF ","J. Hart LAL - SG,SF ",3.0
168,R. Arcidiacono Chi - PG ,FA,6,278,169,2%,16:40,1.2/3.2,.368,1.2/1.2,1.000,0.8,4.3,1.0,2.7,1.2,0.2,0.5,0, PG ,R. Arcidiacono Chi - PG ,3.0
169,"M. Harrell LAC - PF,C ",Green Machine,7,143,170,84%,28:51,5.6/10.1,.549,2.7/4.1,.655,0.0,13.9,6.7,1.7,0.7,0.7,1.7,0," PF,C ","M. Harrell LAC - PF,C ",4.0
170,D. House Jr. Hou - SG ,FA,2,332,171,1%,33:00,5.5/12.5,.440,0.0/0.0,-,3.5,14.5,2.5,1.5,0.5,0.0,2.0,0, SG ,D. House Jr. Hou - SG ,3.0
171,S. Napier Bkn - PG ,FA,5,276,172,11%,15:36,2.6/7.6,.342,3.0/3.2,.938,1.2,9.4,1.8,1.6,1.2,0.4,1.2,0, PG ,S. Napier Bkn - PG ,4.0
172,"J. Jackson Jr. Mem - PF,C ",Sometimes I Dribble,8,88,173,82%,27:52,5.3/11.3,.467,3.8/4.9,.769,0.5,14.8,4.4,1.0,0.5,1.0,1.4,0," PF,C ","J. Jackson Jr. Mem - PF,C ",4.0
173,"L. Thomas NY - SG,SF ",FA,3,347,174,0%,19:40,1.7/2.7,.625,0.7/0.7,1.000,0.0,4.0,3.0,0.3,0.7,1.0,0.7,0," SG,SF ","L. Thomas NY - SG,SF ",4.0
174,"D. Gallinari LAC - SF,PF ",WinterHawk,3,151,175,83%,25:00,3.7/10.0,.367,1.7/2.3,.714,2.7,11.7,3.7,2.3,1.0,0.0,1.3,INJ," SF,PF ","D. Gallinari LAC - SF,PF ",4.0
175,"T. Craig Den - SG,SF ",FA,7,314,176,1%,27:34,3.0/6.4,.467,1.0/1.7,.583,0.9,7.9,4.7,0.9,0.9,0.9,1.0,0," SG,SF ","T. Craig Den - SG,SF ",4.0
176,"G. Harris Den - SG,SF ",14 is the new 24,5,44,177,90%,21:48,4.2/9.2,.457,1.2/1.2,1.000,1.0,10.6,1.6,2.2,0.4,0.8,1.4,0," SG,SF ","G. Harris Den - SG,SF ",4.0
177,"D. Sabonis Ind - PF,C ",The Monstars,6,190,178,85%,22:49,4.7/8.2,.571,2.8/4.5,.630,0.3,12.5,8.2,1.5,0.7,0.3,1.2,0," PF,C ","D. Sabonis Ind - PF,C ",4.0
178,D. Rose Min - PG ,Green Machine,5,269,179,80%,24:24,6.0/13.8,.435,4.0/4.4,.909,0.2,16.2,2.6,4.2,0.2,0.0,1.0,0, PG ,D. Rose Min - PG ,2.0
179,"D. Favors Uta - PF,C ",FA,6,146,180,67%,20:10,3.5/7.2,.488,2.5/3.5,.714,0.2,9.7,7.5,0.8,0.3,0.8,0.8,0," PF,C ","D. Favors Uta - PF,C ",3.0
180,"R. Hood Cle - SG,SF ",FA,7,197,181,12%,24:42,3.6/10.0,.357,3.0/3.0,1.000,0.9,11.0,2.4,2.4,0.6,0.1,0.7,0," SG,SF ","R. Hood Cle - SG,SF ",2.0
181,"J. Ingles Uta - SG,SF ",The Monstars,6,54,182,88%,31:40,3.2/9.0,.352,1.5/1.7,.900,1.5,9.3,2.5,6.7,0.8,0.2,2.2,0," SG,SF ","J. Ingles Uta - SG,SF ",3.0
182,"E. Fournier Orl - SG,SF ",FA,7,79,183,75%,34:51,5.4/13.6,.400,2.9/3.4,.833,1.1,14.9,3.1,3.4,1.1,0.0,1.7,0," SG,SF ","E. Fournier Orl - SG,SF ",3.0
183,L. Kennard Det - SG ,FA,7,160,184,4%,23:25,4.1/9.0,.460,1.1/1.3,.889,1.7,11.1,3.6,1.3,0.6,0.1,1.3,0, SG ,L. Kennard Det - SG ,3.0
184,C. Joseph Ind - PG ,FA,6,200,185,14%,24:10,3.3/7.5,.444,0.7/0.7,1.000,0.8,8.2,3.2,3.8,0.3,0.3,1.0,0, PG ,C. Joseph Ind - PG ,4.0
185,J. Bolden Phi - PF ,FA,7,410,186,0%,13:25,1.7/3.4,.500,0.1/0.3,.500,1.1,4.7,4.7,0.6,0.1,1.3,1.0,0, PF ,J. Bolden Phi - PF ,3.0
186,"M. Muscala Phi - PF,C ",FA,7,227,187,2%,19:51,2.0/4.9,.412,0.9/1.1,.750,1.1,6.0,3.7,0.9,0.6,0.7,0.7,0," PF,C ","M. Muscala Phi - PF,C ",3.0
187,O. Spellman Atl - PF ,FA,6,342,188,1%,19:49,2.5/4.7,.536,0.5/1.0,.500,1.5,7.0,4.8,0.7,0.2,1.0,1.2,0, PF ,O. Spellman Atl - PF ,4.0
188,"B. Adebayo Mia - PF,C ",The Monstars,6,201,189,33%,23:40,2.7/4.7,.571,2.2/2.8,.765,0.0,7.5,5.7,1.5,0.7,0.8,2.0,0," PF,C ","B. Adebayo Mia - PF,C ",3.0
189,"G. Hill Mil - PG,SG ",FA,6,182,190,4%,19:30,2.2/5.2,.419,0.7/0.7,1.000,0.7,5.7,3.0,2.5,1.0,0.0,0.8,0," PG,SG ","G. Hill Mil - PG,SG ",3.0
190,"R. Jackson Det - PG,SG ",FA,7,130,191,55%,30:17,3.9/10.9,.355,1.0/1.3,.778,1.7,10.4,3.3,3.9,0.7,0.0,0.7,0," PG,SG ","R. Jackson Det - PG,SG ",3.0
191,"K. Caldwell-Pope LAL - SG,SF ",FA,6,93,192,40%,28:10,3.5/8.7,.404,2.0/2.3,.857,0.8,9.8,3.0,1.8,1.2,0.0,1.0,0,"Pope LAL - SG,SF ","K. Caldwell-Pope LAL - SG,SF ",3.0
192,"R. Bullock Det - SG,SF ",FA,7,163,193,24%,32:08,4.0/10.4,.384,1.0/1.1,.875,2.3,11.3,3.0,3.1,0.3,0.3,1.6,0," SG,SF ","R. Bullock Det - SG,SF ",3.0
193,N. Vonleh NY - PF ,Taxmaddness,5,265,194,51%,27:36,4.4/9.0,.489,2.2/4.2,.524,0.6,11.6,8.0,1.6,0.4,1.2,0.8,0, PF ,N. Vonleh NY - PF ,4.0
194,"J. Simmons Orl - SG,SF ",FA,4,219,195,2%,21:30,2.8/5.3,.524,1.3/1.8,.714,0.8,7.5,2.8,3.3,0.5,0.3,1.0,0," SG,SF ","J. Simmons Orl - SG,SF ",3.0
195,J. Okogie Min - SG ,FA,6,334,196,5%,25:00,2.8/8.3,.340,2.8/3.0,.944,1.0,9.5,2.7,1.5,1.2,0.2,1.2,0, SG ,J. Okogie Min - SG ,2.0
196,"J. Bayless Min - PG,SG ",FA,6,396,197,9%,23:19,3.2/9.5,.333,0.2/0.2,1.000,1.8,8.3,2.7,3.8,0.8,0.2,1.0,0," PG,SG ",3,3.0
197,"E. Moore NO - SG,SF ",FA,6,149,198,23%,25:10,3.7/7.5,.489,0.7/0.7,1.000,1.0,9.0,3.0,1.3,0.5,0.0,0.8,0," SG,SF ","E. Moore NO - SG,SF ",3.0
198,E. Mudiay NY - PG ,FA,4,284,199,33%,26:15,7.0/13.8,.509,3.3/3.5,.929,0.8,18.0,4.3,2.5,0.5,0.0,3.8,INJ, PG ,E. Mudiay NY - PG ,4.0
199,"J. Green Was - SF,PF ",FA,5,254,200,29%,29:24,4.6/10.6,.434,1.6/2.0,.800,2.2,13.0,3.2,2.0,0.4,0.4,2.0,0," SF,PF ","J. Green Was - SF,PF ",3.0
200,"G. Hayward Bos - SG,SF ",Sometimes I Dribble,6,58,201,84%,23:10,3.2/7.8,.404,2.3/2.8,.824,0.7,9.3,3.7,2.3,1.2,0.3,1.7,0," SG,SF ","G. Hayward Bos - SG,SF ",4.0
201,J. McGee LAL - C ,Westbrook 4 Kidd,6,120,202,76%,17:10,3.5/6.3,.553,0.8/1.8,.455,0.0,7.8,7.2,0.5,0.2,1.3,0.8,0, C ,J. McGee LAL - C ,3.0
202,D. Fox Sac - PG ,Sometimes I Dribble,5,127,203,93%,32:24,4.6/13.0,.354,4.2/5.4,.778,0.8,14.2,4.4,7.6,1.2,0.2,2.8,0, PG ,D. Fox Sac - PG ,2.0
203,A. Baynes Bos - C ,FA,6,292,204,2%,16:40,2.0/4.2,.480,0.7/0.7,1.000,0.2,4.8,5.2,1.0,0.2,1.0,1.2,0, C ,A. Baynes Bos - C ,4.0
204,"L. Nance Jr. Cle - PF,C ",FA,1,96,205,68%,21:00,3.0/8.0,.375,0.0/0.0,-,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0," PF,C ","L. Nance Jr. Cle - PF,C ",2.0
205,"M. Morris Bos - SF,PF ",Green Machine,7,223,206,71%,26:42,3.7/11.0,.338,0.9/1.0,.857,1.3,9.6,6.1,1.1,0.7,0.4,1.0,0," SF,PF ","M. Morris Bos - SF,PF ",4.0
206,"K. Middleton Mil - SG,SF ",Green Machine,6,26,207,99%,29:10,5.7/13.8,.410,1.3/1.7,.800,1.0,13.7,6.8,3.8,0.3,0.2,2.0,0," SG,SF ","K. Middleton Mil - SG,SF ",3.0
207,"J. Green Mem - PF,C ",FA,8,169,208,25%,20:30,3.0/8.0,.375,1.6/2.3,.722,1.3,8.9,4.8,1.5,0.8,0.9,1.5,0," PF,C ","J. Green Mem - PF,C ",4.0
208,"J. Noah Mem - PF,C ",FA,5,423,209,0%,14:48,1.6/4.0,.400,1.6/2.0,.800,0.0,4.8,6.2,2.0,0.8,0.2,0.8,0," PF,C ",3,3.0
209,N. Bjelica Sac - PF ,FA,5,213,210,30%,18:36,2.4/6.0,.400,0.2/0.6,.333,1.0,6.0,5.0,1.6,0.2,1.0,0.6,0, PF ,N. Bjelica Sac - PF ,2.0
210,R. Lopez Chi - C ,FA,5,252,211,2%,17:24,3.2/5.6,.571,0.4/0.8,.500,0.2,7.0,5.4,1.0,0.2,0.8,1.0,0, C ,R. Lopez Chi - C ,3.0
211,"V. Oladipo Ind - PG,SG ",FA,5,11,212,61%,27:36,4.4/14.0,.314,1.8/2.4,.750,1.4,12.0,4.2,5.2,1.6,0.0,1.8,INJ," PG,SG ","V. Oladipo Ind - PG,SG ",4.0
212,"D. Booker Pho - PG,SG ",Taxmaddness,7,29,213,99%,31:00,7.9/17.3,.455,6.1/7.3,.843,1.6,23.4,3.3,5.6,0.3,0.1,4.4,0," PG,SG ","D. Booker Pho - PG,SG ",2.0
213,D. Jones Jr. Mia - SF ,FA,6,321,214,4%,18:19,3.5/6.0,.583,1.2/2.0,.583,0.3,8.5,4.3,0.7,0.3,0.7,0.5,0, SF ,D. Jones Jr. Mia - SF ,3.0
214,B. Forbes SA - PG ,FA,6,266,215,26%,30:40,3.5/9.2,.382,0.5/0.5,1.000,2.0,9.5,3.8,2.0,0.5,0.0,1.2,0, PG ,B. Forbes SA - PG ,3.0
215,M. Scott LAC - PF ,FA,4,299,216,0%,8:45,2.0/3.8,.533,0.0/0.0,-,1.0,5.0,2.5,0.5,0.3,0.3,0.0,0, PF ,M. Scott LAC - PF ,4.0
216,M. Bagley III Sac - PF ,Stay Out the Paint,6,137,217,65%,26:49,6.2/12.3,.500,2.0/3.2,.632,0.2,14.5,7.7,0.8,0.7,0.7,2.2,0, PF ,M. Bagley III Sac - PF ,2.0
217,Z. Pachulia Det - C ,FA,6,290,218,1%,23:49,2.0/4.0,.500,1.3/1.8,.727,0.0,5.3,6.5,1.5,0.8,0.5,1.5,0, C ,Z. Pachulia Det - C ,3.0
218,M. Bridges Cha - SF ,FA,6,313,219,4%,16:10,3.3/6.2,.541,0.7/1.0,.667,0.5,7.8,3.5,1.2,0.2,0.3,0.3,0, SF ,M. Bridges Cha - SF ,4.0
219,"T. Johnson Mia - PG,SG ",FA,6,133,220,24%,30:10,4.2/9.8,.424,1.3/2.3,.571,2.0,11.7,2.0,3.7,0.8,0.3,1.3,0," PG,SG ","T. Johnson Mia - PG,SG ",3.0
220,"T. Hardaway Jr. NY - SG,SF ",Sometimes I Dribble,4,69,221,88%,31:15,4.3/12.8,.333,4.5/5.5,.818,2.5,15.5,2.8,1.3,0.5,0.3,1.0,0," SG,SF ","T. Hardaway Jr. NY - SG,SF ",4.0
221,"A. Bradley LAC - PG,SG ",FA,7,173,222,9%,33:51,4.7/11.6,.407,0.3/0.3,1.000,2.1,11.9,3.7,2.6,0.4,0.0,1.7,0," PG,SG ","A. Bradley LAC - PG,SG ",4.0
222,"J. Johnson Mia - SF,PF ",FA,6,107,223,26%,24:10,1.8/4.7,.393,0.8/0.8,1.000,1.0,5.5,3.2,2.3,0.5,0.8,1.8,0," SF,PF ","J. Johnson Mia - SF,PF ",3.0
223,E. Payton NO - PG ,14 is the new 24,7,119,224,59%,28:17,3.1/9.0,.349,0.9/1.3,.667,0.6,7.7,3.9,6.3,1.0,0.4,2.0,0, PG ,E. Payton NO - PG ,3.0
224,"S. Livingston GS - PG,SG ",FA,7,294,225,1%,14:08,2.4/4.0,.607,1.4/1.4,1.000,0.0,6.3,1.7,1.7,0.3,0.0,0.3,0," PG,SG ","S. Livingston GS - PG,SG ",3.0
225,"E. Davis Bkn - PF,C ",FA,6,238,226,9%,19:10,2.3/3.5,.667,1.5/2.5,.600,0.0,6.2,9.5,1.0,0.3,0.3,1.2,0," PF,C ","E. Davis Bkn - PF,C ",4.0
226,T. Parker Cha - PG ,FA,5,328,227,2%,17:24,4.4/9.2,.478,2.8/3.2,.875,0.0,11.6,1.4,4.2,0.4,0.0,1.2,0, PG ,T. Parker Cha - PG ,4.0
227,"A. Johnson Phi - PF,C ",FA,3,304,228,0%,13:00,2.3/3.7,.636,1.3/1.7,.800,0.3,6.3,3.7,2.0,0.3,0.3,1.0,0," PF,C ","A. Johnson Phi - PF,C ",3.0
228,"D. DeRozan SA - SG,SF ",14 is the new 24,4,37,229,100%,36:15,7.3/15.8,.460,1.0/1.5,.667,0.0,15.5,6.3,5.0,1.3,0.5,4.5,0," SG,SF ","D. DeRozan SA - SG,SF ",3.0
229,"G. Temple Mem - SG,SF ",FA,7,256,230,7%,27:51,2.6/6.6,.391,0.1/0.6,.250,1.6,6.9,3.1,2.3,0.6,0.7,1.0,INJ," SG,SF ","G. Temple Mem - SG,SF ",4.0
230,"Z. Collins Por - PF,C ",FA,8,202,231,7%,16:45,2.1/5.1,.415,0.9/1.1,.778,0.8,5.9,3.8,1.4,0.4,0.5,0.8,0," PF,C ","Z. Collins Por - PF,C ",1.0
231,W. Carter Jr. Chi - C ,FA,1,84,232,46%,28:00,3.0/9.0,.333,0.0/0.0,-,0.0,6.0,10.0,2.0,1.0,1.0,3.0,INJ, C ,W. Carter Jr. Chi - C ,3.0
232,J. Teague Min - PG ,Westbrook 4 Kidd,3,61,233,82%,26:40,3.0/6.7,.450,3.3/4.3,.769,0.7,10.0,2.7,5.3,1.0,0.0,2.3,INJ, PG ,J. Teague Min - PG ,2.0
233,D. Dotson NY - SG ,FA,5,295,234,3%,26:24,2.2/5.4,.407,1.0/1.4,.714,1.6,7.0,3.2,2.2,0.4,0.0,0.6,0, SG ,D. Dotson NY - SG ,4.0
234,"D. Wade Mia - PG,SG ",FA,6,261,235,31%,25:10,5.5/11.7,.471,1.2/1.5,.778,0.7,12.8,4.7,5.3,0.3,0.0,2.8,0," PG,SG ","D. Wade Mia - PG,SG ",3.0
235,"D. Powell Dal - PF,C ",FA,6,239,236,4%,15:19,2.7/5.0,.533,1.7/2.3,.714,0.2,7.2,3.3,1.2,0.3,0.3,0.2,0," PF,C ","D. Powell Dal - PF,C ",3.0
236,S. Mack Mem - PG ,FA,8,255,237,3%,20:15,3.9/8.1,.477,0.6/1.0,.625,0.6,9.0,2.3,4.8,0.6,0.0,1.4,0, PG ,S. Mack Mem - PG ,4.0
237,G. Clark Hou - SF ,FA,6,350,238,0%,16:00,0.8/2.7,.313,0.0/0.0,-,0.7,2.3,3.0,0.0,0.7,0.8,0.3,0, SF ,G. Clark Hou - SF ,3.0
238,"C. Boucher Tor - PF,C ",FA,3,419,239,0%,8:40,1.3/3.7,.364,1.7/1.7,1.000,0.3,4.7,2.0,0.0,0.0,1.0,0.0,0," PF,C ","C. Boucher Tor - PF,C ",2.0
239,"B. Ingram LAL - SG,SF ",Westbrook 4 Kidd,6,83,240,85%,37:19,6.3/13.0,.487,4.2/5.8,.714,0.5,17.3,6.2,4.7,0.5,0.2,3.2,0," SG,SF ","B. Ingram LAL - SG,SF ",3.0
240,"W. Iwundu Orl - SG,SF ",FA,5,344,241,0%,14:48,1.2/3.2,.375,1.2/1.6,.750,0.2,3.8,3.0,0.8,0.8,0.6,0.2,0," SG,SF ","W. Iwundu Orl - SG,SF ",3.0
241,"T. Snell Mil - SG,SF ",FA,6,210,242,1%,13:00,1.5/3.3,.450,0.3/0.3,1.000,1.0,4.3,2.0,0.5,0.7,0.0,0.2,0," SG,SF ","T. Snell Mil - SG,SF ",3.0
242,"Y. Ferrell Sac - PG,SG ",FA,6,234,243,1%,17:30,1.7/5.2,.323,0.3/0.3,1.000,0.8,4.5,3.0,2.8,0.7,0.2,0.7,0," PG,SG ","Y. Ferrell Sac - PG,SG ",2.0
243,"D. Saric Min - PF,C ",FA,6,87,244,51%,20:49,2.0/5.7,.353,0.7/0.8,.800,0.5,5.2,4.8,1.3,0.7,0.0,0.3,0," PF,C ","D. Saric Min - PF,C ",2.0
244,"C. Diallo NO - PF,C ",FA,3,241,245,0%,12:00,3.3/5.7,.588,0.7/1.3,.500,0.0,7.3,2.0,0.0,0.7,0.7,0.3,0," PF,C ","C. Diallo NO - PF,C ",3.0
245,J. Jackson Sac - SF ,FA,6,259,246,2%,18:19,2.2/5.5,.394,0.2/0.3,.500,1.0,5.5,2.0,1.0,0.5,0.3,0.0,0, SF ,J. Jackson Sac - SF ,2.0
246,D. Hamilton Atl - SF ,FA,3,454,247,0%,14:00,1.7/4.7,.357,0.0/0.0,-,1.0,4.3,4.0,1.3,0.7,0.3,1.0,0, SF ,3,3.0
247,J. Adams Atl - PG ,FA,1,497,248,0%,15:00,1.0/4.0,.250,0.0/0.0,-,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0, PG ,3,3.0
248,"W. Matthews Dal - SG,SF ",evan's Neat Team,6,156,249,32%,27:19,3.8/10.3,.371,0.7/1.2,.571,2.0,10.3,2.2,2.3,0.5,0.8,1.5,0," SG,SF ","W. Matthews Dal - SG,SF ",3.0
249,R. Rubio Uta - PG ,Westbrook 4 Kidd,3,51,250,88%,20:19,3.7/8.7,.423,3.3/4.0,.833,1.0,11.7,2.3,4.0,0.7,0.0,2.3,0, PG ,R. Rubio Uta - PG ,3.0
