,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ
19,P. Mills SA - PG ,FA,14,175,170,12%,22:04,3.2/7.9,.409,1.4/1.6,.870,1.8,9.6,2.3,3.2,0.8,0.1,1.1,0
20,"D. Cousins GS - PF,C ",Taxmaddness,2,172,171,87%,18:00,3.5/10.0,.350,2.5/3.5,.714,1.5,11.0,7.5,4.0,0.5,0.5,1.0,0
21,"R. Bullock Det - SG,SF ",FA,16,163,172,30%,32:18,4.3/10.7,.398,1.4/1.6,.880,2.8,12.6,2.9,2.6,0.4,0.1,1.3,0
22,"M. Plumlee Den - PF,C ",FA,14,271,173,11%,21:21,3.3/4.9,.676,1.2/2.4,.500,0.0,7.8,6.5,3.3,0.8,0.8,1.4,0
23,"J. Lin Atl - PG,SG ",FA,14,220,174,10%,22:21,3.4/8.0,.420,3.5/4.1,.860,0.6,10.8,2.4,4.4,0.9,0.3,1.9,0
24,R. Arcidiacono Chi - PG ,FA,14,278,175,2%,20:17,1.4/3.4,.396,1.1/1.1,1.000,0.8,4.6,1.7,3.0,1.1,0.1,0.7,0
0,M. Morris Den - PG ,FA,14,276,176,10%,21:55,3.6/8.5,.420,0.8/0.9,.846,1.1,9.1,1.9,3.4,0.9,0.0,0.6,0
1,D. Bembry Atl - SF ,FA,15,287,177,15%,30:04,4.4/9.4,.468,1.0/1.6,.625,0.7,10.5,4.7,2.8,1.5,0.5,2.3,0
2,"A. Rivers Hou - PG,SG ",FA,14,194,178,16%,37:34,4.4/10.5,.422,0.5/1.1,.467,2.4,11.7,2.8,3.6,0.6,0.3,0.8,0
3,"R. Kurucs Bkn - SF,PF ",FA,14,330,179,5%,24:55,4.2/8.4,.504,1.1/1.2,.941,0.9,10.5,3.9,1.1,0.7,0.4,1.6,0
4,"C. Brewer Phi - SG,SF ",FA,2,356,180,0%,20:30,3.0/6.0,.500,0.5/1.0,.500,0.5,7.0,2.5,1.5,1.5,1.0,1.5,0
5,"P. Millsap Den - PF,C ",Stay Out the Paint,12,60,181,89%,24:04,4.4/9.2,.482,2.1/3.3,.641,0.3,11.3,6.3,1.8,1.2,0.3,0.8,0
6,"T. Craig Den - SG,SF ",FA,14,322,182,1%,27:47,2.9/6.1,.465,0.9/1.4,.650,1.4,8.0,5.1,1.4,0.6,0.6,1.0,0
7,"D. Smith Jr. Dal - PG,SG ",Westbrook 4 Kidd,7,95,183,64%,25:42,4.0/8.6,.467,1.6/2.1,.733,1.6,11.1,1.3,3.3,1.6,0.0,2.4,0
8,J. Jackson Sac - SF ,FA,15,259,184,3%,23:28,2.7/6.4,.417,1.1/1.2,.889,1.5,7.9,3.5,1.2,0.4,0.4,0.5,0
9,"G. Dieng Min - PF,C ",FA,14,207,185,2%,13:21,1.9/3.4,.542,0.6/0.7,.900,0.4,4.8,4.0,0.7,0.7,0.4,0.2,0
10,J. Layman Por - PF ,FA,13,332,186,3%,17:22,3.8/6.7,.563,0.6/0.7,.889,1.1,9.2,2.8,0.8,0.2,0.2,0.3,0
11,"K. Kuzma LAL - SF,PF ",Taxmaddness,14,80,187,92%,34:51,7.6/17.5,.437,3.9/5.2,.740,2.2,21.4,6.6,3.0,0.7,0.0,3.1,0
12,J. McGee LAL - C ,Westbrook 4 Kidd,12,120,188,77%,19:10,3.8/7.8,.495,0.8/1.5,.556,0.0,8.5,7.6,0.8,0.4,1.3,1.0,0
13,"J. Ingles Uta - SG,SF ",The Monstars,14,54,189,88%,30:30,3.6/9.2,.395,1.1/1.5,.762,1.4,9.9,3.9,5.3,0.9,0.3,2.3,0
14,"K. Korver Uta - SG,SF ",FA,14,199,190,10%,22:25,3.6/8.1,.439,1.4/1.6,.909,2.4,10.9,2.4,0.7,0.2,0.3,0.9,0
15,"P. Beverley LAC - PG,SG ",FA,14,147,191,30%,27:08,1.9/4.6,.415,1.2/1.9,.654,1.4,6.5,5.0,2.9,0.6,0.7,1.2,0
16,"W. Matthews Dal - SG,SF ",evan's Neat Team,13,156,192,37%,28:09,3.8/9.5,.395,1.3/1.4,.944,1.8,10.7,2.5,2.4,0.6,0.5,1.8,0
17,"T. Ferguson OKC - SG,SF ",FA,14,323,193,3%,24:55,2.9/6.4,.449,0.6/0.8,.727,2.1,8.4,1.9,0.6,0.5,0.4,0.5,0
18,E. Mudiay NY - PG ,FA,11,281,194,52%,28:38,6.4/15.1,.422,1.9/2.4,.808,0.8,15.5,3.3,4.8,0.7,0.3,2.2,0
19,"I. Shumpert Sac - SG,SF ",FA,12,285,195,4%,26:19,3.1/9.7,.319,0.4/0.5,.833,1.7,8.3,2.7,2.3,1.1,0.7,1.1,0
20,"D. Carroll Bkn - SF,PF ",FA,13,166,196,22%,28:27,4.3/9.9,.434,3.2/4.4,.719,2.1,13.8,5.4,1.6,0.2,0.2,0.9,0
21,"C. Zeller Cha - PF,C ",FA,5,272,197,9%,23:24,3.2/7.8,.410,2.4/3.2,.750,0.2,9.0,7.4,2.8,0.4,1.0,1.8,INJ
22,"D. Wade Mia - PG,SG ",FA,13,261,198,30%,25:00,5.1/10.8,.471,1.8/2.8,.639,0.8,12.8,3.4,5.0,0.7,0.5,2.1,0
23,"J. Isaac Orl - SF,PF ",FA,16,86,199,44%,27:45,2.8/7.3,.385,1.4/1.7,.852,0.8,7.8,4.5,1.3,0.5,0.9,1.0,0
24,"G. Hayward Bos - SG,SF ",Sometimes I Dribble,15,58,200,84%,24:48,4.0/8.9,.451,1.7/2.3,.765,1.1,10.9,3.6,3.7,0.7,0.1,1.6,0
0,D. Dotson NY - SG ,FA,11,296,201,3%,23:54,2.0/5.8,.344,1.3/1.6,.778,1.2,6.5,3.0,2.2,1.0,0.0,0.4,0
1,"D. Theis Bos - PF,C ",FA,14,288,202,1%,15:08,2.0/4.0,.500,1.5/2.0,.750,0.4,5.9,4.6,1.2,0.4,0.6,0.4,0
2,"G. Harris Den - SG,SF ",14 is the new 24,6,44,203,90%,23:19,4.0/9.8,.407,2.0/2.3,.857,1.5,11.5,2.8,2.0,0.2,0.2,0.7,0
3,J. Okafor NO - C ,FA,13,351,204,24%,13:51,2.5/4.5,.552,1.0/1.2,.813,0.0,5.9,4.6,0.7,0.3,0.5,0.3,0
4,"E. Ilyasova Mil - SF,PF ",FA,10,167,205,5%,15:36,2.5/5.2,.481,0.0/0.0,-,0.7,5.7,3.3,0.6,1.0,0.2,0.6,0
5,D. Wilson Mil - PF ,FA,12,381,206,1%,18:10,2.3/4.9,.458,0.5/1.1,.462,1.0,6.0,5.3,1.3,0.5,0.7,0.5,0
6,R. Rubio Uta - PG ,Westbrook 4 Kidd,7,51,207,87%,23:42,4.4/10.7,.413,2.3/2.7,.842,1.3,12.4,2.9,4.3,0.7,0.3,2.7,0
7,"C. Osman Cle - SF,PF ",FA,15,179,208,21%,30:52,4.6/10.0,.460,1.9/2.4,.806,1.3,12.5,3.8,1.7,0.8,0.1,1.9,0
8,"J. Johnson Mia - SF,PF ",FA,13,107,209,26%,20:51,3.1/6.5,.471,0.5/0.7,.778,1.2,7.9,3.3,2.2,0.5,0.4,1.3,0
9,"T. Hardaway Jr. NY - SG,SF ",Sometimes I Dribble,9,69,210,88%,29:06,4.7/12.4,.375,3.2/3.7,.879,2.0,14.6,3.9,1.4,0.7,0.0,1.8,0
10,"E. Davis Bkn - PF,C ",FA,13,238,211,8%,19:27,2.5/3.5,.717,1.3/2.5,.515,0.0,6.4,9.6,0.6,0.9,0.3,1.1,0
11,"S. Brown Mil - SG,SF ",FA,13,317,212,0%,18:27,2.7/5.4,.500,0.2/0.3,.500,1.5,7.0,3.0,2.0,0.5,0.1,1.0,0
12,"C. Hutchison Chi - SG,SF ",FA,14,353,213,1%,24:38,3.1/5.9,.537,0.5/0.6,.778,0.4,7.1,4.5,0.7,0.5,0.1,0.4,0
13,D. Graham Cha - PG ,FA,14,387,214,0%,15:08,1.8/4.9,.368,0.9/0.9,.923,1.1,5.5,1.4,2.6,0.9,0.0,0.6,0
14,S. Dinwiddie Bkn - PG ,Stay Out the Paint,14,129,215,79%,27:25,4.9/11.9,.416,4.1/5.1,.817,1.9,15.9,2.2,5.1,0.4,0.1,2.6,0
15,"D. Miller NO - SG,SF ",FA,13,186,216,2%,27:22,2.3/5.7,.405,0.9/1.2,.800,1.7,7.2,1.8,1.4,0.4,1.0,1.1,0
16,L. Shamet Phi - PG ,FA,14,303,217,1%,18:04,3.1/7.0,.439,0.7/0.8,.909,1.8,8.6,1.7,0.9,0.5,0.1,0.5,0
17,L. Kennard Det - SG ,FA,15,160,218,7%,20:43,3.9/8.5,.465,1.0/1.4,.714,1.7,10.5,3.0,1.5,0.4,0.2,0.9,0
18,"A. Len Atl - PF,C ",FA,13,191,219,16%,22:00,5.0/10.5,.474,1.8/3.2,.585,0.3,12.2,7.6,1.0,0.5,1.3,1.5,0
19,"D. Powell Dal - PF,C ",FA,15,239,220,4%,17:04,3.2/5.8,.552,1.9/2.8,.690,0.3,8.6,4.3,0.9,0.4,0.7,0.6,0
20,"M. Leonard Por - PF,C ",FA,16,293,221,1%,17:07,2.5/4.6,.548,0.4/0.5,.875,0.7,6.1,4.4,1.3,0.3,0.3,0.8,0
21,"R. Jackson Det - PG,SG ",FA,16,130,222,56%,28:37,4.4/11.4,.383,1.5/1.7,.889,1.6,11.9,3.0,3.7,0.6,0.1,1.9,0
22,"V. Carter Atl - SG,SF ",FA,15,279,223,1%,15:04,2.3/5.7,.412,0.3/0.3,.800,1.6,6.5,3.1,1.0,0.7,0.3,1.0,0
23,"S. Dekker Was - SF,PF ",FA,12,310,224,1%,17:45,3.3/6.3,.513,0.7/1.2,.571,0.4,7.6,3.7,0.9,0.8,0.2,0.3,0
24,"G. Hill Mil - PG,SG ",FA,14,182,225,4%,21:34,2.1/5.1,.417,1.1/1.4,.800,0.6,6.1,2.6,2.6,0.9,0.1,0.6,0
