,Player,Owner,GP,O_Rank,C_Rank,Owned,MP,FGs,FG_pct,FTs,FT_pct,3pt,Pts,Rbs,Ast,Stl,Blk,TO,INJ
4,"D. Gallinari LAC - SF,PF ",WinterHawk,13,151,55,84%,31:00,5.5/12.7,.436,4.2/4.8,.857,2.5,17.7,6.0,3.0,0.8,0.2,1.6,INJ
5,"J. Randle NO - PF,C ",Taxmaddness,14,72,56,94%,33:08,7.6/14.4,.530,5.8/7.2,.802,0.7,21.8,8.9,3.6,0.6,0.5,2.7,0
6,"L. Nance Jr. Cle - PF,C ",FA,8,96,57,60%,26:37,3.9/7.5,.517,2.0/2.6,.762,0.0,9.8,7.3,3.3,2.1,0.4,1.5,INJ
7,"M. Beasley Den - PG,SG ",FA,14,277,58,26%,30:42,5.7/10.9,.526,0.7/0.7,1.000,3.0,15.1,3.1,1.8,0.6,0.2,0.7,0
8,"A. Aminu Por - SF,PF ",FA,16,152,59,63%,30:30,3.6/8.3,.436,2.2/2.6,.833,1.3,10.8,8.6,1.8,1.0,0.5,0.6,0
9,"D. Green Tor - SG,SF ",FA,12,157,60,59%,28:40,3.9/8.4,.465,0.6/0.8,.778,2.5,10.9,4.6,1.3,1.1,1.0,1.1,0
10,"J. Tatum Bos - SF,PF ",The Monstars,16,50,61,98%,30:37,5.7/13.2,.431,2.7/3.1,.860,1.4,15.5,5.9,2.0,0.9,1.0,1.4,0
11,T. Jones Min - PG ,FA,12,171,62,4%,26:04,3.3/7.8,.430,1.4/1.5,.944,0.7,8.8,1.9,6.1,1.7,0.2,0.8,INJ
12,K. Lowry Tor - PG ,WinterHawk,7,24,63,100%,34:17,3.4/10.4,.329,3.1/4.0,.786,1.7,11.7,4.4,7.9,2.1,0.6,2.6,0
13,"J. Collins Atl - PF,C ",You Reach I Teach,14,45,64,96%,31:12,7.6/13.1,.582,2.8/3.9,.722,1.1,19.1,10.9,2.3,0.4,0.1,1.9,0
14,D. Dedmon Atl - C ,evan's Neat Team,11,97,65,63%,27:16,4.8/10.1,.477,1.6/1.9,.857,2.0,13.3,8.1,1.8,0.6,0.8,1.8,0
15,"L. Kornet NY - PF,C ",FA,11,209,66,8%,23:33,3.8/8.6,.442,1.3/1.5,.824,2.6,11.5,3.5,2.0,0.9,0.7,0.8,INJ
16,"A. Gordon Orl - SF,PF ",Sometimes I Dribble,14,41,67,98%,35:08,5.9/12.6,.463,3.3/4.0,.821,1.3,16.3,7.8,3.8,0.6,0.5,1.9,0
17,"R. Holmes Pho - PF,C ",FA,13,193,68,17%,17:04,3.5/5.1,.697,2.5/3.0,.821,0.0,9.5,4.2,1.5,0.8,1.0,0.5,0
18,P. Siakam Tor - PF ,WinterHawk,13,140,69,85%,32:37,5.8/10.8,.532,3.3/4.2,.782,0.5,15.4,8.8,3.4,0.8,0.7,2.5,0
19,"J. Murray Den - PG,SG ",14 is the new 24,14,40,70,98%,32:21,7.9/17.7,.448,2.5/3.1,.795,3.1,21.4,4.6,4.6,0.6,0.3,2.5,0
20,S. Adams OKC - C ,WinterHawk,15,77,71,94%,35:04,5.7/8.7,.656,2.1/3.7,.564,0.0,13.5,9.8,2.0,1.6,0.5,1.5,0
21,"K. Anderson Mem - SG,SF ",FA,10,71,72,55%,30:36,4.1/6.8,.603,1.0/2.0,.500,0.4,9.6,4.6,3.3,1.6,1.2,1.2,INJ
22,"M. Williams Cha - SF,PF ",FA,15,124,73,57%,30:04,3.7/9.7,.384,1.3/1.5,.826,2.1,10.9,5.8,1.6,1.0,0.8,0.5,0
23,D. House Jr. Hou - SG ,FA,11,331,74,1%,29:27,3.5/7.3,.488,1.8/2.0,.909,2.3,11.2,4.4,1.6,0.7,0.7,1.2,0
24,"M. Morris Bos - SF,PF ",Green Machine,15,223,75,71%,27:31,5.1/11.0,.467,2.2/2.5,.868,2.3,14.7,5.7,0.9,0.5,0.5,0.9,0
0,"J. Winslow Mia - PG,SF,PF ",14 is the new 24,14,180,76,71%,30:08,6.1/12.9,.478,1.7/2.6,.649,1.5,15.5,5.7,5.4,1.4,0.2,1.9,0
1,"T. Warren Pho - SF,PF ",You Reach I Teach,15,168,77,79%,34:07,6.7/15.1,.441,2.2/2.8,.786,1.7,17.3,3.9,1.6,1.6,0.5,1.4,0
2,D. Augustin Orl - PG ,FA,15,131,78,43%,28:43,4.5/8.7,.511,3.2/3.6,.889,1.9,14.1,1.7,4.7,0.9,0.0,1.9,0
3,"N. Batum Cha - SG,SF ",FA,15,70,79,68%,31:00,2.7/5.8,.471,1.9/2.1,.906,1.3,8.7,5.3,3.3,1.3,0.4,1.7,0
4,"K. Bazemore Atl - SG,SF ",FA,4,126,80,59%,29:45,7.3/16.5,.439,1.8/3.0,.583,2.0,18.3,3.8,2.8,1.8,1.0,1.8,INJ
5,A. Zizic Cle - C ,Sometimes I Dribble,10,243,81,30%,22:12,3.8/6.9,.551,3.1/3.5,.886,0.0,10.7,6.8,0.9,0.4,0.7,0.2,0
6,"K. Dunn Chi - PG,SG ",Westbrook 4 Kidd,14,73,82,81%,31:00,4.9/11.3,.437,1.1/1.4,.800,0.5,11.5,4.2,7.1,1.6,0.5,2.3,0
7,"K. Middleton Mil - SG,SF ",Green Machine,14,26,83,99%,30:25,6.5/14.0,.464,2.1/2.7,.789,1.7,16.9,5.6,4.4,0.9,0.1,1.7,0
8,E. Gordon Hou - SG ,WinterHawk,6,100,84,74%,30:00,6.3/14.7,.432,3.7/4.3,.846,3.0,19.3,4.0,3.2,0.7,0.2,2.2,0
9,"M. Smart Bos - PG,SG ",FA,15,176,85,39%,28:19,3.1/6.9,.456,0.7/0.9,.714,2.0,8.9,2.8,3.6,1.6,0.3,1.3,0
10,"M. Morris Was - PF,C ",FA,2,141,86,28%,30:30,4.5/12.0,.375,4.0/4.5,.889,1.0,14.0,6.0,1.5,1.5,0.0,0.5,INJ
11,D. Fox Sac - PG ,Sometimes I Dribble,15,127,87,93%,30:55,5.9/13.8,.430,3.5/4.9,.726,0.7,16.1,3.9,7.1,2.1,0.4,2.5,0
12,"W. Cauley-Stein Sac - PF,C ",Taxmaddness,15,118,88,86%,28:52,5.6/10.9,.512,1.5/2.7,.561,0.0,12.7,9.9,3.1,1.1,0.9,1.2,0
13,L. Markkanen Chi - PF ,You Reach I Teach,14,89,89,89%,32:04,6.6/14.5,.453,1.9/2.4,.818,2.4,17.5,7.2,0.8,0.7,0.6,1.8,0
14,M. Gasol Mem - C ,evan's Neat Team,14,34,90,99%,32:08,5.1/12.2,.421,2.2/3.0,.738,1.0,13.5,8.1,5.9,0.6,1.1,2.3,0
15,"T. Ross Orl - SG,SF ",FA,16,264,91,53%,27:15,5.5/12.8,.431,1.2/1.5,.792,2.7,14.9,4.0,1.6,1.0,0.3,0.9,0
16,"P. Tucker Hou - SF,PF ",Green Machine,14,183,92,48%,36:04,2.6/7.0,.367,1.3/2.0,.643,1.4,7.9,5.9,1.7,2.1,0.6,0.8,0
17,"A. Drummond Det - PF,C ",14 is the new 24,14,25,93,100%,31:38,5.6/11.6,.485,1.7/3.2,.533,0.0,13.0,13.4,1.1,1.8,1.4,2.6,0
18,"V. Oladipo Ind - PG,SG ",You Reach I Teach,13,11,94,100%,32:09,6.2/15.6,.394,2.6/3.5,.739,1.8,16.8,4.5,5.6,1.8,0.1,2.2,0
19,M. Harkless Por - SF ,FA,9,189,95,5%,24:53,3.2/6.9,.468,1.0/1.3,.750,0.4,7.9,5.1,0.7,1.2,1.2,0.4,0
20,"B. Bogdanovic Sac - SG,SF ",Stay Out the Paint,15,108,96,76%,29:31,6.4/14.2,.451,1.5/1.9,.793,2.1,16.4,4.0,4.7,1.2,0.3,2.7,0
21,I. Zubac LAL - C ,You Reach I Teach,15,314,97,31%,18:12,4.5/7.1,.636,2.6/2.9,.886,0.0,11.7,5.5,0.9,0.1,1.0,1.1,0
22,N. Vonleh NY - PF ,Taxmaddness,11,265,98,46%,25:54,3.3/7.1,.462,2.7/3.6,.750,1.0,10.3,8.9,1.3,1.1,0.8,1.5,0
23,"K. Looney GS - PF,C ",FA,14,267,99,6%,23:38,3.5/5.7,.613,0.7/1.4,.526,0.1,7.8,7.1,2.1,1.0,0.9,0.6,0
24,"N. Noel OKC - PF,C ",FA,12,229,100,8%,13:19,2.0/3.0,.667,0.7/0.9,.727,0.0,4.7,3.7,0.7,1.3,1.2,0.4,0
0,"L. Doncic Dal - PG,SG,SF ",14 is the new 24,15,92,101,96%,31:16,7.2/17.1,.420,5.1/7.3,.691,2.8,22.3,7.3,5.9,1.1,0.1,2.7,0
1,"J. Harris Bkn - SG,SF ",FA,13,128,102,60%,29:51,5.3/10.5,.507,1.0/1.1,.929,2.5,14.1,4.2,2.6,0.6,0.2,2.0,0
2,"C. McCollum Por - PG,SG ",Green Machine,16,28,103,99%,34:00,7.5/17.0,.441,2.0/2.5,.800,2.0,19.0,3.8,2.9,0.6,0.3,1.0,0
3,"D. Exum Uta - PG,SG ",FA,6,258,104,2%,18:19,4.7/9.0,.519,1.7/1.7,1.000,0.8,11.8,2.3,5.7,0.2,0.2,1.2,INJ
4,"A. Iguodala GS - SG,SF ",FA,14,247,105,7%,23:47,2.7/5.2,.521,0.7/1.2,.588,0.8,6.9,4.6,3.1,1.0,0.9,0.6,0
5,"T. Ariza Was - SG,SF ",Green Machine,13,104,106,78%,36:55,4.8/12.9,.375,2.2/2.7,.800,2.5,14.4,6.1,4.5,1.1,0.2,2.1,0
6,M. Robinson NY - C ,FA,2,319,107,11%,13:00,3.0/3.0,1.000,0.0/0.5,.000,0.0,6.0,4.0,0.5,0.5,1.5,0.0,0
7,R. Rondo LAL - PG ,FA,2,184,108,48%,20:30,3.5/6.5,.538,1.0/1.0,1.000,0.5,8.5,4.0,7.0,0.5,0.0,1.5,INJ
8,"D. Booker Pho - PG,SG ",Taxmaddness,12,29,109,99%,32:25,8.3/18.0,.463,5.4/6.7,.813,1.8,23.9,3.3,7.2,0.6,0.1,3.6,0
9,"J. Clarkson Cle - PG,SG ",FA,15,217,110,62%,27:12,6.6/14.1,.467,1.3/1.6,.833,2.0,16.5,2.6,2.3,1.1,0.3,1.7,0
10,T. McConnell Phi - PG ,FA,14,237,111,7%,24:30,3.6/6.2,.575,0.7/1.1,.667,0.1,8.0,2.9,5.0,1.5,0.4,1.5,0
11,"J. Hart LAL - SG,SF ",FA,16,125,112,48%,30:52,3.4/8.8,.386,1.4/1.8,.786,1.5,9.6,5.9,2.3,1.4,0.6,1.3,0
12,"R. Hood Cle - SG,SF ",FA,8,197,113,14%,23:30,3.8/9.0,.417,3.4/3.4,1.000,1.0,11.9,2.4,1.8,0.9,0.3,1.1,0
13,"D. Wright Tor - PG,SG ",FA,13,170,114,5%,19:46,3.2/6.8,.472,1.0/1.2,.867,0.7,8.2,2.2,2.8,1.4,0.4,0.5,0
14,"B. Biyombo Cha - PF,C ",FA,11,305,115,12%,19:43,2.8/4.8,.585,1.5/2.1,.696,0.0,7.1,7.8,0.8,0.4,1.5,0.7,0
15,W. Carter Jr. Chi - C ,FA,11,84,116,51%,26:21,4.1/8.1,.506,1.7/2.0,.864,0.1,10.0,7.9,1.5,0.7,0.8,1.4,INJ
16,"A. Burks Cle - PG,SG ",Sometimes I Dribble,15,274,117,18%,28:16,4.0/9.1,.438,2.4/2.8,.857,1.4,11.8,5.1,2.5,0.6,0.5,1.1,0
17,"M. Belinelli SA - SG,SF ",FA,13,158,118,20%,23:27,4.0/8.7,.460,2.8/3.0,.949,2.2,13.1,2.8,1.9,0.5,0.1,1.1,0
18,"T. Gibson Min - PF,C ",FA,14,161,119,53%,26:17,4.9/7.8,.633,1.6/2.1,.793,0.1,11.6,6.7,1.1,0.6,0.6,1.3,0
19,"T. Satoransky Was - PG,SG ",You Reach I Teach,13,257,120,60%,30:55,3.9/8.4,.468,1.4/1.9,.720,1.0,10.2,4.7,4.8,1.6,0.2,2.2,0
20,D. Jordan Dal - C ,Westbrook 4 Kidd,15,65,121,96%,30:40,4.3/6.3,.691,2.4/3.9,.621,0.0,11.1,13.0,1.3,0.5,1.3,2.5,0
21,"B. Adebayo Mia - PF,C ",The Monstars,14,201,122,33%,24:34,3.3/5.6,.590,1.9/2.4,.794,0.0,8.5,5.7,2.7,0.9,0.8,1.6,0
22,J. Teague Min - PG ,Westbrook 4 Kidd,8,61,123,85%,26:52,4.1/8.6,.478,1.9/2.9,.652,1.1,11.3,2.8,7.3,1.5,0.3,2.3,0
23,D. Jones Jr. Mia - SF ,FA,13,315,124,5%,21:13,3.7/6.2,.600,1.3/1.8,.708,0.7,9.4,4.4,0.5,1.0,0.7,0.8,0
24,"Z. LaVine Chi - PG,SG ",WinterHawk,13,62,125,95%,30:22,7.4/16.2,.455,4.2/5.0,.831,2.0,20.9,2.9,3.1,0.6,0.2,2.3,0
0,"D. Favors Uta - PF,C ",FA,14,146,126,67%,24:08,4.1/8.2,.504,2.6/3.8,.679,0.2,11.1,8.1,1.2,0.6,1.3,0.8,0
1,Z. Pachulia Det - C ,FA,8,290,127,1%,21:52,2.1/4.0,.531,1.4/1.6,.846,0.0,5.6,6.5,2.3,1.0,0.8,1.4,0
2,M. Kleber Dal - PF ,FA,14,253,128,6%,22:30,2.2/4.9,.449,0.8/0.9,.846,1.2,6.4,4.6,0.6,0.6,1.4,0.9,0
3,"N. Powell Tor - SG,SF ",FA,12,309,129,2%,20:40,3.8/7.9,.484,0.9/1.0,.917,1.0,9.6,1.8,2.0,1.2,0.4,0.7,0
4,S. Napier Bkn - PG ,FA,12,275,130,3%,20:00,4.1/9.2,.445,2.2/2.6,.839,1.8,12.2,2.3,3.3,0.9,0.3,1.4,0
5,"D. Bertans SA - PF,C ",FA,14,177,131,11%,25:00,2.6/5.6,.474,0.1/0.2,.333,2.2,7.6,4.8,1.2,0.6,0.6,0.6,0
6,R. O'Neale Uta - SF ,FA,14,263,132,7%,21:38,2.1/4.1,.526,0.7/0.8,.909,1.2,6.2,4.5,1.2,0.9,0.6,0.7,0
7,"R. Gay SA - SF,PF ",evan's Neat Team,8,142,133,71%,26:00,5.8/11.8,.489,1.0/1.1,.889,0.4,12.9,5.5,2.5,0.9,0.6,2.1,0
8,"H. Barnes Dal - SF,PF ",14 is the new 24,15,74,134,85%,32:36,5.5/14.3,.386,3.7/4.2,.889,2.6,17.4,4.1,1.1,0.7,0.1,1.1,0
